Question,Answer
Khoản vay có thể được cấp dưới danh nghĩa Tài chính NUST Ujala là bao nhiêu?,i. Doanh nghiệp nhỏ – lên đến 15 triệu Rupees ii. Doanh nghiệp vừa – lên đến 25 triệu Rupees iii. Người dùng trong nước – từ 0.5 triệu đến 3.0 triệu Rupees iv. Nhân viên NUST: lên đến 3.00 triệu Rupees v. Nhà cung cấp: Từ 5 triệu đến 25 triệu Rupees – (Một nhà cung cấp duy nhất)
Tỷ lệ lợi nhuận cho Tài khoản NUST Asaan là bao nhiêu?,"Chi trả lợi nhuận: Nửa năm một lần. Tỷ lệ lợi nhuận: 0,19."
Các dịch vụ miễn phí nào có sẵn tại ASDA?,"Bảng sao kê điện tử & Ngân hàng trực tuyến miễn phí, Gửi tiền/Rút tiền mặt trực tuyến miễn phí giữa các chi nhánh (Trực tuyến), Chuyển khoản nội bộ miễn phí trong NUST qua chi nhánh (Chuyển khoản trực tuyến), Phát hành Séc ngân hàng miễn phí, Cảnh báo SMS miễn phí về Giao dịch Kỹ thuật số."
Yêu cầu bảo đảm an ninh để được hưởng PMYB & ALS là gì?,"Bậc 2: i. Sạch sẽ; bảo lãnh cá nhân của bên vay. ii. 02 séc ghi ngày sau cho số tiền trả góp. iii. 01 séc ghi ngày sau cho toàn bộ số tiền vay cộng với phần đánh dấu theo lịch trình khấu hao. Bậc 3: i. Thế chấp tài sản dân cư/thương mại/công nghiệp do bên vay hoặc bên thứ ba sở hữu. ii. HPA trên phương tiện mang tên bên vay hoặc thành viên gia đình ruột thịt. iii. Bảo đảm thanh khoản (quyền giữ tiền gửi, chứng chỉ tiết kiệm, TDR, v.v.)."
Đối tượng mục tiêu của Tài khoản Tiền gửi Thanh toán là gì?,"Cá nhân (đơn lẻ hoặc chung); Hộ kinh doanh cá thể, Chủ doanh nghiệp; Công ty hợp danh; Công ty Trách nhiệm hữu hạn và Cổ phần; Tổ chức Chính phủ; Tập đoàn, Câu lạc bộ, Hội, Tổ chức phi chính phủ (NGO), v.v."
Số tiền tài trợ tối thiểu và tối đa là bao nhiêu?,"Số tiền tài trợ tối thiểu là Rs. 50,000 (Rs. 35,000 đối với JCOs đã nghỉ hưu & Hạ tầng - Phụ thuộc vào lương hưu với NUST). Tài trợ tối đa lên đến Rs. 3,000,000 (Đối với khách hàng không phải prime) và lên đến Rs. 4,000,000 (Đối với khách hàng prime). Giới hạn tài trợ tối đa sẽ lên đến 40% Tỷ lệ Gánh nặng Nợ và theo quy định của SBP PR."
Tài khoản Doanh nghiệp Value Plus (VP-BA) là gì?,Tài khoản Doanh nghiệp Value Plus (VP-BA) là một tài khoản doanh nghiệp cung cấp một loạt lợi ích và giải pháp được thiết kế riêng để các doanh nghiệp quản lý giao dịch tài chính của họ một cách hiệu quả.
Khoản vay có thể được sử dụng cho mục đích khác không?,"Không, khoản vay chỉ có thể được sử dụng cho các mục đích cụ thể như: Mua nhà/căn hộ/chung cư/đơn vị nhà ở, Mua đất (+) cộng với Xây dựng, Xây dựng nhà/đơn vị nhà ở trên lô đất đã sở hữu, Cải tạo nhà/căn hộ/chung cư/đơn vị nhà ở, Mở rộng/Cải thiện, Chuyển nhượng số dư (BTF) đối với cơ sở tài chính hiện có của người vay từ các ngân hàng/Tổ chức tài chính phát triển (DFIs) khác."
Tôi có thể thực hiện thanh toán balloon hoặc chấm dứt hợp đồng trước hạn không?,"Có, tùy chọn thanh toán balloon hoặc chấm dứt hợp đồng trước hạn có sẵn cho tất cả khách hàng. Phí sẽ được áp dụng theo biểu phí hiện hành của Ngân hàng."
Các tính năng chính của Chính sách Bảo hiểm EFU Bancassurance là gì?,"- Bảo vệ gia đình và Tiết kiệm dài hạn
- Số tiền bảo hiểm tối thiểu = 18.000, Không giới hạn tối đa số tiền bảo hiểm
- Thời hạn bảo hiểm tối thiểu = 10 năm (Ngoại trừ Kế hoạch Đóng phí Một lần)
- Các quyền lợi bổ sung cũng có sẵn với chi phí (Sản phẩm bổ trợ và bảo hiểm tử kỳ bổ sung)
- EFU Life cung cấp các kế hoạch khác nhau cho khách hàng theo nhu cầu và yêu cầu của khách hàng"
Có phí thanh toán trễ không?,"1.000 PKR cộng FED cho mỗi lần phát sinh trên mỗi khoản trả góp, bao gồm thời gian gia hạn. Phí thanh toán trễ sẽ được áp dụng 15 ngày sau khi khoản trả góp đến hạn, tức là vào ngày thứ 16."
Có phí phạt trả chậm không?,3.000 Rs cho mỗi đợt thanh toán.
Tôi có thể nhận kiều hối tại Pakistan nếu không có tài khoản ngân hàng ở bất kỳ ngân hàng nào không?,Bạn có thể nhận kiều hối của mình tại bất kỳ chi nhánh nào trong số hơn 600 chi nhánh trong nước của NUST trên toàn quốc nếu bạn có CNIC hợp lệ và Mã số tham chiếu giao dịch duy nhất / Mã pin.
"Tôi muốn mở tài khoản cùng con trai, ngân hàng có sản phẩm nào dành cho trẻ em không?","Có, sản phẩm của chúng tôi là Tài Khoản Nhà Vô Địch Nhí. Tài khoản này được thiết kế dành riêng cho trẻ vị thành niên (dưới 18 tuổi). Trẻ em cần sự hỗ trợ của cha mẹ hoặc người giám hộ hợp pháp để mở tài khoản này và sử dụng các tiện ích đi kèm. Nhà Vô Địch Nhí sẽ được nhận Thẻ Ghi nợ và sổ séc, miễn phí lần đầu phát hành."
Ai có thể đăng ký Tài chính NUST Ujala?,1. Tài trợ SE/ME 2. Tài trợ Nhà cung cấp/Nhà phân phối 3. Tài trợ Nhân viên NUST 4. Tài trợ Ứng viên trong nước (dành riêng cho nhân viên khu vực doanh nghiệp/chính phủ)
Thời hạn tối đa của Tài chính NUST Imarat là bao lâu?,AIF 1: Tối đa 10 năm (Thời gian ân hạn lên đến 6 tháng). AIF 2: Tối đa 10 năm (Thời gian ân hạn lên đến 9 tháng). AIF 3: Tối đa 8 năm (Thời gian ân hạn lên đến 6 tháng). AIF 4: Tối đa 3 năm (Thời gian ân hạn lên đến 3 tháng). (Lãi suất sẽ được thu trong thời gian ân hạn).
Thời hạn tối đa cho Khoản vay NUST Ujala là bao lâu?,"i. Người vay SE/ME: 05 năm, bao gồm thời gian ân hạn 03 tháng. ii. Trong nước: 05 năm bao gồm thời gian ân hạn 03 tháng. iii. Nhân viên NUST: 10 năm hoặc theo thời gian công tác còn lại (tùy theo điều kiện nào ngắn hơn), bao gồm thời gian ân hạn 03 tháng. iv. Nhà cung cấp/Nhà cung ứng: 05 năm bao gồm thời gian ân hạn 06 tháng."
Các dịch vụ miễn phí đi kèm với Tài khoản Tiền gửi Hiện tại là gì?,Dịch vụ cảnh báo SMS miễn phí cho Giao dịch Kỹ thuật số; Sao kê điện tử & Ngân hàng trực tuyến miễn phí; Gửi/Rút tiền mặt trực tuyến miễn phí giữa các chi nhánh (Trực tuyến); Chuyển khoản nội bộ miễn phí trong NUST qua chi nhánh (Chuyển khoản trực tuyến); Phát hành Séc ngân hàng miễn phí
Thị trường mục tiêu cho Tài khoản Doanh nghiệp Hạng sang Value Plus là gì?,"Các Doanh nghiệp Vừa, Công ty Hợp danh, Công ty TNHH và Công ty Đại chúng, Tổ chức Doanh nghiệp & Thương mại, Tổ chức Phi chính phủ (NGOs) / Tổ chức Bất vụ lợi (NPOs) / Tổ chức Tín thác/ Tổ chức Từ thiện."
Có độ tuổi tối thiểu nào để được tài trợ trong Chương trình Tài chính Nhà máy Bột mì NUST không?,"Tuổi của người vay (trong trường hợp doanh nghiệp tư nhân) phải tối thiểu 20 tuổi, tuy nhiên không được vượt quá 65 tuổi tại thời điểm nộp đơn. Độ tuổi này có thể được nới lỏng trong trường hợp có kế hoạch kế thừa hiệu quả cho hoạt động kinh doanh. Tiêu chí này không áp dụng nếu doanh nghiệp là công ty hợp danh hoặc công ty trách nhiệm hữu hạn."
Mục đích của chương trình Tài chính Hunarmand NUST là gì?,• Để bắt đầu một doanh nghiệp mới • Để mở rộng một doanh nghiệp hiện có.
Tỷ suất lợi nhuận cho Tài khoản Tiền gửi Đặc biệt NUST (ASDA) là bao nhiêu?,Chi trả lợi nhuận: Hàng tháng/Nửa năm. Tỷ suất lợi nhuận: 0.19.
NUST Sahar Finance có thể được sử dụng cho những mục đích nào?,"i. Mở rộng kinh doanh hiện có ii. Thành lập doanh nghiệp mới iii. Mua cổ phiếu/ Nhu cầu vốn lưu động, v.v."
VPCA có đi kèm quyền lợi bảo hiểm nào không?,Bảo hiểm Rút tiền mặt tại ATM. Bảo hiểm “Tử vong do Tai nạn & Thương tật Vĩnh viễn” 24 Giờ trên Toàn cầu.
Chính sách Bảo hiểm Ngân hàng Jubilee Life là gì?,"Chính sách Bảo hiểm Ngân hàng Jubilee Life là sản phẩm bảo hiểm nhân thọ do Ngân hàng NUST cung cấp với sự hợp tác của Công ty Bảo hiểm Nhân thọ Jubilee, mang đến nhiều gói bảo hiểm nhân thọ đa dạng."
Có phạt rút tiền trước hạn trong Tiền gửi có kỳ hạn NUST Maximiser không?,"Việc rút tiền Tiền gửi có kỳ hạn NUST Maximiser trước ngày đáo hạn sẽ chịu mức phạt rút tiền trước hạn như sau: Số tiền gốc x 1,5% mỗi năm cho khoảng thời gian còn lại của Tiền gửi có kỳ hạn. (Ví dụ: nếu một giao dịch được đặt cho 5 năm nhưng rút sau 2 năm – mức phạt/phí sẽ là 4,5% x Số tiền Gốc). Mức phạt/phí tối thiểu là 1,5% số tiền gốc. Số tiền phạt sẽ chỉ trong phạm vi lợi nhuận đã trả/ có thể trả."
Ngân hàng NUST cung cấp những loại sản phẩm Chuyển tiền trong nước nào?,"NUST cung cấp các Sản phẩm Chuyển tiền sau đây để đáp ứng nhu cầu của nhiều đối tượng thụ hưởng chuyển tiền trong nước tại Pakistan:
• Thanh toán Tiền mặt tại Quầy (CoC) cho khách hàng vãng lai
• Chuyển khoản qua Tài khoản NUST
• Chuyển khoản qua Tài khoản Ngân hàng Khác thông qua Chuyển tiền Liên ngân hàng (IBFT) & Thanh toán Bù trừ Liên tục Theo thời gian Thực (RTGS)"
Yêu cầu số dư tối thiểu cho Tài khoản Tiền gửi Đặc biệt của NUST là gì?,Không yêu cầu số dư trung bình tối thiểu hàng tháng. Không yêu cầu số dư mở tài khoản tối thiểu.
Tỷ suất lợi nhuận cho Chứng chỉ Tiền gửi Có kỳ hạn Thông báo Rút tiền Ngắn (SNDR) là bao nhiêu?,Kỳ hạn: 7 Ngày. Hình thức chi trả: Đến hạn. Tỷ suất lợi nhuận: 0.165.
Thị trường mục tiêu là gì?,"Cá nhân (đơn lẻ hoặc chung). Hộ kinh doanh cá thể. Công ty hợp danh. Công ty trách nhiệm hữu hạn đại chúng và tư nhân. Tổ chức Chính phủ, Tập đoàn. Câu lạc bộ, Hội, Hiệp hội. Tổ chức phi chính phủ (NGO)/Tổ chức phi lợi nhuận (NPO)/Tổ chức từ thiện."
Tỷ lệ Mark-up hiện tại của Quỹ Tài chính NUST Hunarmand là bao nhiêu?,"Bậc 2: 4,5% mỗi năm. Bậc 3: 6,5% mỗi năm."
Đối tượng mục tiêu của Tài khoản Tiền gửi Thanh toán là gì?,"Cá nhân (đơn lẻ hoặc chung); Hộ kinh doanh cá thể, Chủ doanh nghiệp; Công ty hợp danh; Công ty Trách nhiệm hữu hạn và Cổ phần; Tổ chức Chính phủ; Tập đoàn, Câu lạc bộ, Hội, Tổ chức phi chính phủ, v.v."
Thời hạn vay tối đa là bao lâu?,• Đối với xe có dung tích xi-lanh lên đến 1000 CC: tối đa 5 năm. • Đối với xe có dung tích xi-lanh trên 1000 CC: tối đa 3 năm.
Tài khoản Chuyển tiền Kỹ thuật số NUST Asaan có bất kỳ giới hạn giao dịch nào không?,"Có, các giới hạn giao dịch sau áp dụng cho Tài khoản Chuyển tiền Kỹ thuật số NUST Asaan: Hạn mức Số dư Tín dụng Tối đa là 3.000.000 PKR, Hạn mức Rút tiền Mặt là 500.000 PKR mỗi ngày, Hạn mức Chuyển tiền là 500.000 PKR mỗi ngày và Hạn mức Tín dụng Nội địa là 1.000.000 PKR mỗi ngày."
Ngân hàng NUST có đang cung cấp hình thức tài trợ thời vụ nào không?,Sản phẩm tài chính thời vụ “Tài trợ Nhà máy Bột mì NUST” đã được cấu trúc để giải ngân nhanh chóng theo hình thức cho vay theo chương trình. Sản phẩm được thiết kế dành riêng cho các nhà máy bột mì nhằm đáp ứng nhu cầu vốn lưu động của họ. Tài trợ Nhà máy Bột mì NUST nhằm đáp ứng nhu cầu tài chính thời vụ cho việc mua sắm lúa mì và các chi phí quản lý khác của nhà máy. Phạm vi của sản phẩm hướng đến các nhà máy bột mì thuộc danh mục Doanh nghiệp vừa và nhỏ (SME).
Tiêu chí thu nhập tối thiểu hàng tháng là gì?,"Làm công ăn lương: Cố định 50.000 Rs/-, Hợp đồng 60.000 Rs/-, Nhân viên Chính phủ Hợp đồng 75.000 Rs/-; Lực lượng Vũ trang: 25.000 Rs/-."
Dịch vụ Chuyển tiền Kiều hối của NUST có tính phí không?,Dịch vụ Chuyển tiền Kiều hối của NUST là miễn phí.
Có phí thanh toán trễ không?,"1.000 PKR cộng FED cho mỗi lần và mỗi khoản trả góp, bao gồm thời gian gia hạn. Phí thanh toán trễ sẽ được áp dụng sau 15 ngày kể từ khi khoản trả góp đến hạn, tức là vào ngày thứ 16."
Các khoản phí áp dụng cho Chương trình Tài chính Hunarmand của NUST là gì?,Áp dụng theo quy định của PMYB & ALS.
Sản phẩm này có sẵn ở hai biến thể:,· Tài khoản Tiết kiệm NUST Maximiser · Tiền gửi có kỳ hạn NUST Maximiser
Điều gì xảy ra nếu tôi không thực hiện được nghĩa vụ thanh toán?,"Trong trường hợp quá hạn/vi phạm thanh toán, bộ phận thu hồi nợ của NUST sẽ liên hệ với bạn, thông tin khoản vay của bạn sẽ được báo cáo cho Cục Tín dụng. Phí thanh toán chậm sẽ được áp dụng theo biểu phí hiện hành. Ngân hàng cũng có thể khởi động các thủ tục pháp lý."
Có bất kỳ khoản phí ẩn nào không?,Không có bất kỳ khoản phí ẩn nào. Tất cả các khoản phí đều được đề cập trong Biểu phí của chúng tôi có sẵn trên trang web và tại tất cả các chi nhánh của Ngân hàng NUST.
Yêu cầu bảo đảm an ninh để được hưởng Chương trình Tài chính Hunarmand của NUST là gì?,"i. Bảo lãnh cá nhân của người vay đối với các khoản vay lên đến 1,5 triệu và ủy quyền ghi nợ trực tiếp của người vay/người hưởng lương hưu/người bảo lãnh phải được thực hiện. ii. Đối với các khoản vay trên 1,5 triệu, khoản vay phải được bảo đảm bằng tài sản động sản cũng như bất động sản của người vay theo quy định trong PMYB&ALs. iii. Bảo lãnh của sĩ quan đang tại ngũ trong lực lượng vũ trang trong trường hợp gia đình (vợ/chồng hoặc con cái) của họ vay vốn theo chương trình này."
Các dịch vụ miễn phí có sẵn với Tài khoản Tiết kiệm NUST Maximiser là gì?,o Phát hành Séc Ngân hàng o Phát hành CDR o Rút/Gửi tiền mặt Liên chi nhánh Trực tuyến (Online) o Chuyển khoản Nội bộ trong NUST qua chi nhánh (Chuyển khoản Trực tuyến) o Ngân hàng Internet o SMS cho giao dịch kỹ thuật số o Bản sao kê điện tử
Vui lòng cho tôi biết về các tiện ích miễn phí được cung cấp trên Tài khoản Vãng lai Value Plus cho Doanh nghiệp khi duy trì số dư trung bình tối thiểu hàng tháng?,Phát hành séc. Sao kê tài khoản trùng lặp. Phát hành Thẻ ghi nợ (Phí phát sinh/Phí hàng năm sẽ theo SOC hiện hành). Tiện ích Ngân hàng trực tuyến. Cảnh báo SMS về Giao dịch Kỹ thuật số. Sao kê điện tử. Gửi tiền mặt/Rút tiền trực tuyến tại Chi nhánh liên hệ (Trực tuyến). Chuyển khoản nội bộ trong NUST qua chi nhánh (Chuyển khoản trực tuyến). Phát hành Séc của Ngân hàng.
NUST Asaan Account (NAA) là gì?,"NUST Asaan Account (NAA) là một tài khoản ngân hàng thuận tiện và dễ dàng mở, được thiết kế để đáp ứng nhu cầu ngân hàng hàng ngày, mang lại trải nghiệm không phiền phức."
Ngân hàng của bạn có cung cấp tài khoản Lãi & Lỗ không?,"Có, Tài khoản Chia sẻ Lãi Lỗ được thiết kế đặc biệt để đáp ứng nhu cầu giao dịch và tiết kiệm của khách hàng."
Tài sản đảm bảo cho khoản vay là gì?,Xe ô tô được tài trợ sẽ là tài sản đảm bảo cho khoản vay và sẽ được thế chấp cho Ngân hàng NUST.
Các dịch vụ miễn phí đi kèm với tài khoản chuyển tiền PakWatan là gì?,Các dịch vụ miễn phí bao gồm: Sổ séc đầu tiên 25 tờ (Chỉ dành cho tài khoản vãng lai). Phát hành thẻ ghi nợ NUST Visa (phí thường niên và phí thay thế sẽ được áp dụng). Phát hành séc ngân hàng. Rút/gửi tiền mặt liên chi nhánh trực tuyến (Online). Chuyển khoản nội bộ trong NUST qua chi nhánh (Chuyển khoản trực tuyến). Ngân hàng Internet. SMS cho giao dịch kỹ thuật số. Bản sao kê điện tử.
Các tính năng chính của Tiền gửi có kỳ hạn NUST Sahar là gì?,"Linh hoạt lựa chọn nhiều kỳ hạn: 1, 3 hoặc 5 Năm. Khoản đầu tư bắt đầu từ mức thấp chỉ 50.000 Rs. Thanh toán lợi nhuận hàng tháng vào Tài khoản vãng lai NUST Sahar của bạn. Có tùy chọn tái tục. Các giao dịch chỉ được đặt từ Tài khoản vãng lai NUST Sahar."
Bản chất của khoản vay được cho phép tại Quỹ Tài chính NUST Hunarmand?,• Khoản vay dài hạn / Khoản vay phát triển • Khoản vay vốn lưu động / Khoản vay sản xuất.
Các khoản phí dịch vụ/tài liệu/pháp lý tại NUST Ujala Finance là bao nhiêu?,Theo thực tế.
Phí xử lý cho PMYB & ALS là bao nhiêu?,100 Rs
Yêu cầu tài sản đảm bảo cho Ask Fauri Business Finance là gì?,"NUST: Quyền cầm cố đối với tiền gửi NUST CA/SA/TDR, bao gồm bên thứ ba (LCY/FCY). Chứng chỉ Tiết kiệm Quốc gia (NSC): Quyền cầm cố đối với NSC bao gồm tên chung/chủ sở hữu."
Bảo hiểm tài sản có bắt buộc không?,Có. Bảo hiểm tài sản là bắt buộc; Phí bảo hiểm do bên vay chịu. Bảo hiểm này chi trả chi phí xây dựng của ngôi nhà được tài trợ và giá trị tài sản trong trường hợp căn hộ.
Có yêu cầu về doanh số tài khoản cho Tài chính Nhà máy Bột mì NUST không?,Tối thiểu 50% doanh số của người nộp đơn phải được chứng minh thông qua doanh số tài khoản tại ngân hàng.
Các khoản phí dịch vụ/tài liệu/pháp lý trong Ask Fauri Business Finance là gì?,Theo thực tế.
Lợi ích của Dịch vụ Tài chính Ô tô Ngân hàng NUST là gì?,"• Tỷ lệ Mark Up (lãi suất) Thả nổi & Cố định cạnh tranh. • Tùy chọn thanh toán một phần để giảm khoản trả góp hàng tháng. • Tỷ lệ bảo hiểm hấp dẫn ở mức 1,75% mỗi năm. • Xử lý nhanh chóng & Thủ tục giấy tờ tối thiểu. • Miễn phí thiết bị định vị và lắp đặt. • Không có phí ẩn. • Bảo hiểm nhân thọ tai nạn miễn phí lên tới 1.000.000 Rs."
Phí xử lý cho PMYB & ALS là bao nhiêu?,100 Rs
Tỷ suất lợi nhuận cho Chứng chỉ Tiền gửi Có kỳ hạn Thông báo Rút tiền Trước hạn (SNDR) là bao nhiêu?,Kỳ hạn: 7 Ngày. Hình thức chi trả: Khi đáo hạn. Tỷ suất lợi nhuận: 0.165.
Tôi có thể theo dõi tình trạng chuyển tiền trực tuyến không?,"Có, bạn có thể xem tình trạng chuyển tiền của mình trực tuyến thông qua Công cụ Theo dõi Chuyển tiền NUST bằng đường dẫn sau https://NUSTbank.com/services/alternate-delivery-channels/home-remittance-tracking/"
Thời hạn tối đa của Tài chính Doanh nghiệp Ask Fauri là bao lâu?,"AFBF-1: Tối đa 1 Năm, AFBF-2: Tối đa 3 Năm, AFBF-3: Tối đa 30 Tháng, AFBF-4: Theo yêu cầu / Kỳ hạn Usance 120 ngày."
Các tính năng chính của Tài khoản Little Champs là gì?,"• Số tiền gửi ban đầu tối thiểu: 100 Rs
• Tài khoản Tiết kiệm Little Champs
• Miễn phí sổ séc đầu tiên* (Chỉ dành cho Tài khoản Vãng lai)
• Miễn phí thẻ ghi nợ* (áp dụng phí thường niên/phí thay thế)
• Chi trả lợi nhuận: Nửa năm một lần
• Tỷ lệ lợi nhuận: 0.19
• Hạn mức chuyển tiền hàng ngày: 100.000 Rs
• Hạn mức rút tiền ATM hàng ngày: 25.000 Rs
• Hạn mức POS hàng ngày: 50.000 Rs"
Tần suất trả nợ tại Quỹ Tài chính NUST Hunarmand là như thế nào?,Khoản vay AHF sẽ được hoàn trả dưới hình thức trả góp hàng tháng hoặc hàng quý (hoặc theo chỉ đạo của Ngân hàng Nhà nước Pakistan - SBP).
Tài khoản NUST Maximiser là gì?,"Tài khoản NUST Maximiser là một tài khoản tiền gửi mang lại lợi nhuận cao hơn với tính linh hoạt trong việc truy cập dễ dàng vào tiền, nhằm mục đích tối đa hóa khoản tiết kiệm cho chủ tài khoản."
PRI có tuân theo luật của Ngân hàng Nhà nước hoặc Chính phủ không?,"Đây là một sáng kiến chung của Ngân hàng Nhà nước Pakistan, Bộ Người Pakistan ở nước ngoài và Bộ Tài chính."
Loại tài khoản của NAA là gì?,NAA có thể được mở cả dưới dạng Tài khoản Vãng lai và Tài khoản Tiết kiệm.
Thị trường mục tiêu là gì?,Thị trường mục tiêu cho Tài khoản Chuyển tiền Kỹ thuật số NUST Asaan bao gồm các cá nhân - người thụ hưởng (gia đình) của những người Pakistan đang làm việc ở nước ngoài.
Ngân hàng NUST có cung cấp sản phẩm tài chính nào liên quan đến các giải pháp năng lượng tái tạo/thay thế không?,"Ngân hàng NUST đã xây dựng một sản phẩm tài chính mới với tên gọi 'Tài chính NUST Ujala' theo chương trình tái cấp vốn của Ngân hàng Nhà nước Pakistan (SBP), trong phạm vi dành cho Doanh nghiệp vừa và nhỏ (SME). Chương trình Sản phẩm được phát triển nhằm cung cấp tài chính cho việc lắp đặt thiết bị năng lượng mặt trời như một nguồn năng lượng thay thế."
Vui lòng cho tôi biết về số dư tối thiểu hàng tháng được yêu cầu?,Không yêu cầu tiền gửi ban đầu. 25.000 Rs/- (Số dư trung bình hàng tháng).
Tôi có thể sử dụng dịch vụ vay mua ô tô nếu không phải là Người làm công ăn lương/Doanh nhân/Chuyên gia không?,"Có. Cá nhân có kiều hối, được hỗ trợ bởi sao kê ngân hàng và biên lai chuyển tiền có thể sử dụng Dịch vụ Vay Mua Ô tô."
Các tính năng chính của Tài khoản Tiết kiệm NUST Maximiser là gì?,"- Chi trả lợi nhuận hấp dẫn theo tháng, quý, nửa năm và năm. - Yêu cầu số dư trung bình tối thiểu hàng tháng là 100.000 Rs. - Phát hành Thẻ Ghi nợ dạng chip và Sổ Séc theo SOC hiện hành."
Bảo hiểm tài sản có bắt buộc không?,Có. Bảo hiểm tài sản là bắt buộc; Phí bảo hiểm do bên vay chịu. Bảo hiểm này chi trả chi phí xây dựng của ngôi nhà được tài trợ và giá trị tài sản trong trường hợp căn hộ chung cư.
Mục đích của Tài chính Xay xát Bột mì NUST được cung cấp cho những mục đích nào?,"Tài chính Tiền mặt (CF): Để đáp ứng nhu cầu vốn lưu động của hoạt động kinh doanh xay xát bột mì cho việc mua sắm lúa mì theo công suất xay xát. Tài chính Hoạt động (RF): Để đáp ứng nhu cầu vốn lưu động như vận chuyển, lương & tiền công, tiện ích và các chi phí hành chính khác, v.v. (Việc mua sắm lúa mì bằng nguồn vốn RF bị hạn chế)."
Có yêu cầu bằng cấp/kinh nghiệm bắt buộc nào không?,"Cụ thể cho Nghiệp vụ Mới: i) Chỉ các Chuyên gia (Kế toán viên Công chứng, Bác sĩ, Kỹ sư, Chuyên gia CNTT và Chuyên gia Tư vấn) có tối thiểu 2 năm kinh nghiệm chuyên môn. ii) Các chuyên gia đã nghỉ hưu từ lực lượng vũ trang và gia đình của sĩ quan lực lượng vũ trang đang tại ngũ. Không yêu cầu bằng cấp chuyên môn đối với nghiệp vụ hiện có."
Thị trường mục tiêu là gì?,"Cá nhân (đơn lẻ hoặc chung). Hộ kinh doanh cá thể. Công ty hợp danh. Công ty trách nhiệm hữu hạn công khai và tư nhân. Tổ chức chính phủ, tập đoàn. Câu lạc bộ, hội, hiệp hội. Tổ chức phi chính phủ (NGO)/Tổ chức phi lợi nhuận (NPO)/Tổ chức từ thiện."
Có phí thanh toán trễ không?,Phí thanh toán trễ 1.000 PKR cộng FED sẽ được tính sau ngày thứ 30 kể từ khi khoản trả góp quá hạn.
Tỷ lệ đánh dấu hiện tại của Tài chính NUST Imarat là bao nhiêu?,Doanh nghiệp vừa và nhỏ (SME) thông thường: Tỷ lệ cho người dùng cuối: 12MK+4% mỗi năm (được xem xét hàng năm). Doanh nghiệp vừa và nhỏ (SME) được Lực lượng Vũ trang hỗ trợ: Tỷ lệ cho người dùng cuối: 12MK+2.5% mỗi năm (được xem xét hàng năm).
Cơ cấu pháp lý của doanh nghiệp nên như thế nào để được hưởng Tài chính NUST Imarat?,"Chủ sở hữu duy nhất, Công ty hợp danh (đã đăng ký), Công ty trách nhiệm hữu hạn tư nhân, Công ty đại chúng."
Tỷ lệ lợi nhuận cho Tài khoản NUST Waqaar - Công dân Cao tuổi là bao nhiêu?,"Thanh toán lợi nhuận: Hàng tháng. Tỷ lệ lợi nhuận: 0,19."
Có giới hạn nào đối với chi tiêu quốc tế không?,"Theo chỉ thị của Ngân hàng Nhà nước (SBP) có hiệu lực từ ngày 1 tháng 11 năm 2022, giới hạn tối đa hàng năm trên toàn ngành là 30,000 USD/người đối với các giao dịch xuyên biên giới qua thẻ (thẻ ghi nợ/thẻ tín dụng và thẻ ảo). Khách hàng có trách nhiệm chính trong việc đảm bảo không vượt quá giới hạn hàng năm của mình bất cứ lúc nào. Để tránh mọi bất tiện, Quý khách được đề nghị hãy giữ mức chi tiêu quốc tế trong giới hạn quy định. Các khoản thanh toán thương mại xuyên biên giới qua thẻ phát hành cho cá nhân là không được phép. Lưu ý: Ngân hàng NUST có quyền từ chối bất kỳ đơn đăng ký nào theo tiêu chí của Ngân hàng."
Bản chất của khoản vay được cho phép tại Quỹ Tài chính NUST Hunarmand?,• Khoản vay dài hạn / Khoản vay phát triển • Khoản vay vốn lưu động / Khoản vay sản xuất.
Có danh sách chi nhánh nào tôi có thể truy cập để lấy thông tin không?,Danh sách các chi nhánh trong nước của NUST có thể được xem từ công cụ Định vị Chi nhánh có trên trang web doanh nghiệp của chúng tôi www.nustbank.com. https://NUSTbank.com/find-us/
Tiêu chí tuổi tối đa để đăng ký Tài chính Thế chấp NUST là gì?,"Nhân viên biên chế: 60 tuổi tại thời điểm đáo hạn khoản vay, Nhân viên hợp đồng: 65 tuổi tại thời điểm đáo hạn khoản vay, Người hưởng lương hưu: 65 tuổi tại thời điểm đáo hạn khoản vay, Tự kinh doanh/Tự hành nghề (SEB/SEP): 65 tuổi tại thời điểm đáo hạn khoản vay."
Tôi có thể sử dụng dịch vụ vay mua ô tô nếu không phải là Người làm công ăn lương/Doanh nhân/Chuyên gia không?,"Có. Cá nhân có kiều hối, được hỗ trợ bởi sao kê ngân hàng và biên lai chuyển tiền có thể sử dụng Dịch vụ Vay Mua Ô tô."
Tài khoản Chia sẻ Lợi nhuận và Thua lỗ (PLS) là gì?,"Tài khoản Chia sẻ Lợi nhuận và Thua lỗ (PLS) là một loại tài khoản ngân hàng Hồi giáo, trong đó lợi nhuận và thua lỗ được chia sẻ giữa ngân hàng và chủ tài khoản dựa trên thỏa thuận đã được thiết lập."
