,instruction,input,output
0,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any taxes applicable on this account?,Zakat and taxes are applicable as per law.
Có bất kỳ loại thuế nào áp dụng cho tài khoản này không?,Zakat và các loại thuế được áp dụng theo quy định của pháp luật.
Tài khoản này có được bảo hiểm không?,"• Bảo hiểm Rút tiền mặt tại ATM lên đến hạn mức rút tiền mặt hàng ngày của thẻ ghi nợ từ ATM của Ngân hàng NUST. • Bảo hiểm 'Tử vong do Tai nạn & Thương tật Vĩnh viễn' 24 giờ trên toàn thế giới cho chủ thẻ ghi nợ. 500.000 Rs và 700.000 Rs tương ứng cho Thẻ ghi nợ Classic và Gold. • Bảo hiểm 'Tử vong do Tai nạn & Thương tật Vĩnh viễn' 24 giờ trên toàn thế giới. Số tiền bảo hiểm cho mỗi chủ tài khoản sẽ tương đương với bốn lần số dư trung bình hoàn thành trong sáu tháng qua – tối đa lên đến 2,5 triệu Rs."
Tỷ lệ lợi nhuận cho Tài khoản Tiết kiệm NUST Maximiser là bao nhiêu?,Chi trả lợi nhuận: Hàng tháng. Tỷ lệ lợi nhuận: 0.19.
Điều gì xảy ra nếu tôi không thực hiện được nghĩa vụ thanh toán?,"Trong trường hợp quá hạn/vi phạm thanh toán, bộ phận thu hồi nợ của NUST sẽ liên hệ với bạn, thông tin khoản vay của bạn sẽ được báo cáo cho Cục Tín dụng. Khoản phí trả chậm sẽ được áp dụng theo biểu phí hiện hành. Ngân hàng cũng có thể khởi kiện pháp lý."
Ngân hàng NUST có tham gia PMYB & ALS không?,"Ngân hàng NUST đang tích cực tham gia PMYB&ALS. Chương trình này được thiết kế đặc biệt để cung cấp cơ hội tự tạo việc làm cho thanh niên thất nghiệp trong nước có kỹ năng, kiến thức, kinh nghiệm hoặc mong muốn bắt đầu công việc kinh doanh của riêng mình ở quy mô nhỏ đến trung bình hoặc mở rộng quy mô kinh doanh hiện có."
Ngân hàng có cung cấp lựa chọn Tiền gửi có kỳ hạn với tài khoản này không?,"Có, tùy chọn đặt Tiền gửi có kỳ hạn NUST Sahar độc quyền từ Tài khoản vãng lai NUST Sahar với lãi suất hấp dẫn có sẵn."
Có điều kiện nào liên quan đến việc duy trì tài khoản ngân hàng để được sử dụng Tài chính NUST Imarat không?,Bảng sao kê tài khoản ngân hàng tối thiểu 1 năm với NUST hoặc Bảng sao kê ngân hàng tối thiểu 2 năm với bất kỳ ngân hàng nào khác.
Loại tài khoản của Tài khoản Kỹ thuật số NUST Freelancer là gì? Là tài khoản Vãng lai hay Tiết kiệm?,"Tài khoản Kỹ thuật số NUST Freelancer cung cấp Tài khoản Vãng lai bằng PKR & FCY (USD, GBP, EUR, AED)."
Có độ tuổi tối thiểu nào để được hỗ trợ tài chính trong PMYB & ALS và có yêu cầu trình độ/kinh nghiệm bắt buộc nào không?,"Tất cả công dân Pakistan từ 21 đến 45 tuổi đều đủ điều kiện ứng tuyển, tuy nhiên đối với các doanh nghiệp liên quan đến CNTT/Thương mại điện tử, độ tuổi tối thiểu sẽ là 18 tuổi (yêu cầu ít nhất phải có bằng trung học cơ sở hoặc trình độ học vấn tương đương)."
Có độ tuổi tối thiểu để được hỗ trợ tài chính tại NUST Imarat Finance không?,"Kinh doanh mới: Tối thiểu 30 tuổi tại thời điểm nộp đơn, tuy nhiên độ tuổi không được vượt quá 60 khi khoản vay đáo hạn. Kinh doanh hiện có: Tối thiểu 30 tuổi tại thời điểm nộp đơn, tuy nhiên độ tuổi không được vượt quá 65 khi khoản vay đáo hạn."
Các tính năng chính của Chính sách Bảo hiểm Ngân hàng JLI là gì?,"- Bảo vệ Gia đình ngắn hạn và Tiết kiệm dài hạn
- Số tiền Bảo hiểm Tối thiểu = 18.000, Không giới hạn tối đa số tiền bảo hiểm
- Thời hạn Bảo hiểm Tối thiểu = 10 Năm
- Các quyền lợi bổ sung cũng có sẵn với chi phí (Quyền lợi bổ sung và bảo hiểm nhân thọ bổ sung)
- Jubilee Life cung cấp các gói kế hoạch khác nhau cho khách hàng theo nhu cầu và yêu cầu của họ."
Ngân hàng NUST có cung cấp tài khoản nào cho mục đích nhận kiều hối không?,"Có, Tài khoản Nhận Kiều hối PakWatan. Thông qua Tài khoản Nhận Kiều hối PakWatan, người thụ hưởng có thể nhanh chóng và an toàn nhận kiều hối từ người thân đang sinh sống ở nước ngoài trực tiếp vào tài khoản ngân hàng của mình mà không cần đến chi nhánh."
PakWatan Remittance Account là gì?,"PakWatan Remittance Account là một tài khoản chuyên biệt được thiết kế để hỗ trợ việc nhận kiều hối gửi về Pakistan, mang lại cho người nhận kiều hối khả năng tiếp cận nguồn tiền một cách dễ dàng và nhanh chóng."
Các đặc điểm chính của các Gói Bảo hiểm EFU này là gì?," - Thời gian xem xét miễn phí 14 ngày bắt đầu từ ngày khách hàng nhận được Tài liệu Chính sách.
 - Hệ thống tăng trưởng Liên kết đơn vị (EFU phân bổ các đơn vị quỹ tương hỗ cho khách hàng, sự tăng trưởng của chính sách phụ thuộc vào mức tăng trưởng tỷ giá đơn vị giống như thị trường chứng khoán).
 - Ngân hàng NUST chỉ đóng vai trò là Đại lý Bán hàng Doanh nghiệp. Đây là một kế hoạch bảo hiểm, không được coi là bất kỳ Tài khoản hoặc Tiền gửi có kỳ hạn nào có Lợi nhuận Cố định hàng năm.
 - Trong trường hợp chấm dứt sớm, chỉ Giá trị Tiền mặt của chính sách sẽ được thanh toán cho khách hàng (tỷ giá thị trường hiện tại của các đơn vị quỹ tương hỗ sẽ được hoàn trả).
 - Việc hủy bỏ chính sách và tùy chọn hoàn tiền đầy đủ có sẵn nếu tài liệu chính sách được trả lại trong Thời gian Xem xét Miễn phí, tức là trong vòng 14 ngày kể từ khi nhận được tài liệu.
 - Giá trị Tiền mặt của chính sách có thể khác với lợi nhuận dự kiến được cung cấp trong tài liệu minh họa (tài liệu minh họa chỉ mang tính chất tham khảo)."
Ngân hàng NUST có cung cấp tài khoản nào dành riêng cho Phụ nữ không?,"Có! Ngân hàng NUST cung cấp Tài khoản NUST Sahar. Công dân Pakistan là nữ, cư trú cá nhân có thể mở tài khoản được cung cấp theo Dịch vụ Ngân hàng NUST Sahar."
Tài khoản Doanh nghiệp Cao cấp Value Premium (VPBA) là gì?,"Tài khoản Doanh nghiệp Cao cấp Value Premium (VPBA) là một tài khoản doanh nghiệp cấp cao, được thiết kế dành cho các doanh nghiệp đang tìm kiếm các dịch vụ cao cấp và tính năng ngân hàng để đáp ứng nhu cầu hoạt động của họ."
Có tài khoản nào mang lại lợi nhuận hấp dẫn cho khoản tiết kiệm dài hạn của tôi không?,"Có, Tài khoản NUST Maximiser được thiết kế để đáp ứng các nhu cầu ngân hàng cơ bản của bạn và mang lại lợi nhuận hấp dẫn cho khoản tiết kiệm."
Ngân hàng có yêu cầu vốn chủ sở hữu cho chương trình này không?,AIF 1 & AIF 2: Tối thiểu 30% (Doanh nghiệp hiện hữu) & Tối thiểu 40% (Doanh nghiệp mới). AIF 3 & AIF 4: Không yêu cầu đối với Doanh nghiệp hiện hữu & Tối thiểu 25% (Doanh nghiệp mới).
Tiêu chí Đủ điều kiện cho Tài khoản NAA là gì?,Cá nhân người Pakistan cư trú không duy trì/có bất kỳ tài khoản nào khác (cá nhân hoặc chung) tại Ngân hàng NUST Limited đều đủ điều kiện để mở Tài khoản NAA bằng đồng rupee Pakistan dưới dạng tài khoản cá nhân/tài khoản chung.
Bản chất của các khoản vay được cho phép trong PMYB & ALS?,• Khoản vay dài hạn / Khoản vay phát triển • Khoản vay vốn lưu động / Khoản vay sản xuất
Tỷ lệ lợi nhuận cho Tài khoản Little Champs là bao nhiêu?,Thanh toán lợi nhuận: Nửa năm một lần. Tỷ lệ lợi nhuận: 0.19.
Điều gì xảy ra nếu tôi không thực hiện được nghĩa vụ thanh toán?,"Trong trường hợp quá hạn/vỡ nợ, bộ phận thu hồi của NUST sẽ liên hệ với bạn, thông tin khoản vay của bạn sẽ được báo cáo cho Cục Tín dụng. Phí thanh toán chậm và phí trả lại séc cũng có thể được áp dụng theo biểu phí hiện hành. Ngân hàng cũng có thể khởi kiện pháp lý."
NUST đang cung cấp những tiện ích miễn phí nào trên Tài khoản Vãng lai NUST Sahar?,"Sổ Séc đầu tiên, Phát hành Thẻ Ghi nợ đầu tiên, Giảm giá 50% cho năm đầu tiên thuê Tủ khóa (tùy thuộc vào tình trạng có sẵn của tủ), Phát hành Séc của Ngân hàng, Rút/Gửi Tiền mặt Liên chi nhánh Trực tuyến (Online), Chuyển Khoản Nội bộ trong NUST qua chi nhánh (Chuyển khoản Trực tuyến), Cảnh báo SMS cho tất cả các Giao dịch ngân hàng, Ngân hàng Di động và I-Net, Tiện ích Bản sao kê Điện tử và nhiều hơn nữa. Các khoản Phí phát sinh/Phí hàng năm sau đó sẽ được tính theo Biểu phí hiện hành."
Tôi có thể sử dụng khoản vay mua ô tô cho nhiều hơn một xe không?,"Có. Bạn có thể sử dụng khoản vay cho hai xe đồng thời từ Ngân hàng NUST, tùy thuộc vào Hạn chế Gánh nặng Nợ."
Có phí trả chậm không?,"1.000 Rs. mỗi đợt thanh toán. Trong trường hợp trả chậm, lãi suất thương mại sẽ được áp dụng trên số tiền gốc còn nợ."
Hạn mức cho vay của Chương trình Tài trợ Nhà máy Bột mì NUST là gì?,Mỗi bên (một thực thể duy nhất) có thể vay tối đa 75 triệu Rs cho Doanh nghiệp vừa (ME) và 25 triệu Rs cho Doanh nghiệp nhỏ (SE).
Có giới hạn nào đối với chi tiêu quốc tế không?,"Theo chỉ thị của Ngân hàng Nhà nước Pakistan (SBP) có hiệu lực từ ngày 1 tháng 11 năm 2022, giới hạn tối đa hàng năm trên toàn ngành là 30.000 USD/người đối với các giao dịch xuyên biên giới qua thẻ (thẻ ghi nợ/thẻ tín dụng và thẻ ảo). Đây là trách nhiệm chính của khách hàng để đảm bảo rằng giới hạn hàng năm của mình không bị vượt quá bất cứ lúc nào. Để tránh bất kỳ sự bất tiện nào, Quý khách được đề nghị vui lòng hạn chế chi tiêu quốc tế trong giới hạn đã quy định. Các khoản thanh toán thương mại xuyên biên giới qua thẻ phát hành cho cá nhân là không được phép. Lưu ý: Ngân hàng NUST có quyền từ chối bất kỳ đơn đăng ký nào theo tiêu chí của Ngân hàng."
Tôi có thể sử dụng dịch vụ vay mua ô tô nếu không phải là người hưởng lương/doanh nhân/chuyên gia không?,"Có. Cá nhân có kiều hối, được hỗ trợ bởi sao kê ngân hàng và biên lai chuyển tiền có thể sử dụng dịch vụ vay mua ô tô."
Có bất kỳ khoản phí thanh lý hợp đồng trước hạn / phí trả nợ trước hạn không?,Không.
Có cho phép ghi có nội địa trong Tài khoản Chuyển tiền PakWatan không?,Ghi có nội địa cũng được cho phép trong Tài khoản Chuyển tiền PakWatan.
Thời hạn tối đa của Ask Fauri Business Finance là bao lâu?,"AFBF-1: Lên đến 1 Năm, AFBF-2: Lên đến 3 Năm, AFBF-3: Lên đến 30 Tháng, AFBF-4: Theo yêu cầu / Kỳ hạn Usance 120 ngày."
"Tôi là người nước ngoài, tôi có thể gửi tiền sang Pakistan không?","Có, bạn có thể."
Các tính năng cơ bản của Tài khoản NUST Asaan là gì?,"Một số tính năng chính của Tài khoản NUST Asaan bao gồm: Báo cáo tài khoản nửa năm một lần, Không tính phí dịch vụ mở và đóng tài khoản, Phát hành thẻ ghi nợ PayPak miễn phí (có thể phát sinh phí sau đó), Cảnh báo SMS miễn phí cho giao dịch kỹ thuật số, Sao kê điện tử miễn phí, Ngân hàng trực tuyến/ Ngân hàng di động miễn phí, Rút tiền mặt/Gửi tiền trực tuyến liên chi nhánh miễn phí, Chuyển khoản nội bộ miễn phí trong hệ thống NUST và giới hạn giao dịch là 1.000.000 Rs cho tổng ghi có và ghi nợ mỗi tháng."
Thời hạn tài trợ tối thiểu và tối đa là bao lâu?,Tối thiểu 01 năm. Tối đa 04 năm (lên đến 7 năm đối với Khoản vay Giáo dục) hoặc theo Quy định Hiện hành của SBP (Ngân hàng Nhà nước Pakistan).
Phí xử lý cho Đơn xin Tài chính của NUST Sahar là bao nhiêu?,Lên đến 0.70 triệu Rupee: 2000 Rupee (Không hoàn lại). Trên 0.70 triệu và lên đến 5 triệu Rupee: 3000 Rupee (Không hoàn lại).
Các tính năng chính của Tiền gửi có kỳ hạn NUST Sahar là gì?,"Linh hoạt lựa chọn từ nhiều kỳ hạn: 1, 3 hoặc 5 Năm. Khoản đầu tư bắt đầu từ mức thấp chỉ 50.000 Rs. Thanh toán lợi nhuận hàng tháng vào Tài khoản vãng lai NUST Sahar của bạn. Có tùy chọn tái tục. Các giao dịch chỉ được đặt từ Tài khoản vãng lai NUST Sahar."
Tài khoản Chia sẻ Lợi nhuận và Thua lỗ (PLS) là gì?,"Tài khoản Chia sẻ Lợi nhuận và Thua lỗ (PLS) là một loại tài khoản ngân hàng Hồi giáo, trong đó lợi nhuận và thua lỗ được chia sẻ giữa ngân hàng và chủ tài khoản dựa trên thỏa thuận đã được thiết lập."
Các dịch vụ miễn phí đi kèm với Tài khoản Tiền gửi Hiện tại là gì?,Dịch vụ nhắn tin SMS miễn phí cho Giao dịch Kỹ thuật số; Sao kê điện tử & Ngân hàng trực tuyến I-Net miễn phí; Gửi tiền mặt/Rút tiền trực tuyến miễn phí giữa các chi nhánh (Trực tuyến); Chuyển khoản nội bộ miễn phí trong NUST qua chi nhánh (Chuyển khoản trực tuyến); Phát hành Séc ngân hàng miễn phí
Bảo hiểm xe có bắt buộc không?,"Có. Bảo hiểm toàn diện cho xe là bắt buộc trong suốt thời hạn vay với chi phí do người vay chịu, thông qua bất kỳ công ty bảo hiểm nào trong danh sách được chấp thuận bởi Ngân hàng NUST."
Phí phạt rút tiền trước hạn đối với Tiền gửi có kỳ hạn NUST Sahar là gì?,"Việc rút tiền Tiền gửi có kỳ hạn NUST Sahar trước ngày đáo hạn sẽ chịu phí phạt rút trước hạn như sau: Số tiền gốc x 1,5% mỗi năm trên thời gian còn lại của Tiền gửi có kỳ hạn. Mức phí tối thiểu là 1,5% số tiền gốc. Số tiền phạt sẽ chỉ trong phạm vi lợi nhuận đã trả/ có thể trả."
Tôi có thể mua chính sách Bancassurance từ tài khoản của mình được duy trì tại Ngân hàng NUST không?,"Có, mọi khách hàng đạt độ tuổi 18 và có tài khoản tại Ngân hàng NUST đều đủ điều kiện để mua chính sách Bancassurance từ tài khoản của mình."
Bản chất của các khoản vay được cho phép trong PMYB & ALS?,• Khoản vay dài hạn / Khoản vay phát triển • Khoản vay vốn lưu động / Khoản vay sản xuất
Thời hạn tài trợ tối thiểu và tối đa là bao lâu?,Tối thiểu 01 năm. Tối đa 04 năm (lên đến 7 năm đối với Khoản vay Giáo dục) hoặc theo Quy định Hiện hành của SBP (SBP PRs).
Các tính năng chính của Tài khoản Tiền gửi Hiện tại là gì?,"Được cung cấp bằng VNDĐ (PKR) & NNT (USD, GBP, EUR, JPY & AED); Số tiền gửi tối thiểu để mở tài khoản là Rs.5.000 đối với VNDĐ, US $500 hoặc tương đương đối với NNT; Không yêu cầu số dư tối thiểu hàng tháng; Thẻ Ghi nợ cho tài khoản PKR; Không giới hạn số tiền ghi có và ghi nợ hàng tháng"
PakWatan Remittance Account là gì?,"PakWatan Remittance Account là một tài khoản chuyên biệt được thiết kế để hỗ trợ việc nhận kiều hối gửi về Pakistan, mang lại cho người nhận kiều hối khả năng tiếp cận nguồn tiền một cách dễ dàng và nhanh chóng."
Loại tài khoản của NUST Freelancer Digital Account là gì? Là tài khoản vãng lai hay tiết kiệm?,"NUST Freelancer Digital Account cung cấp tài khoản vãng lai bằng PKR và FCY (USD, GBP, EUR, AED)."
Hạn mức cho vay của Ask Fauri Business Finance là gì?,Tối đa 200 triệu Rs (Cho tất cả các sản phẩm).
Các khoản phí dịch vụ/tài liệu/pháp lý tại NUST Ujala Finance là bao nhiêu?,Theo thực tế.
Người Pakistan ở nước ngoài có thể nhận được khoản Tài chính Cá nhân từ NUST không?,"Không, việc ứng viên và người sử dụng lao động của họ phải có mặt tại Pakistan là bắt buộc để đăng ký khoản Tài chính Cá nhân không thế chấp."
Thời hạn tài trợ là bao lâu?,Thẻ tín dụng NUST là một dịch vụ thường trực và có thể gia hạn sau khi thẻ tín dụng hết hạn.
Cơ cấu pháp lý của doanh nghiệp để được hưởng Tài chính NUST Sahar là gì?,"Chủ sở hữu duy nhất, Công ty hợp danh, Công ty trách nhiệm hữu hạn tư nhân, Công ty một thành viên (SMC), Cá nhân kinh doanh (Do phụ nữ làm chủ). Đối với Công ty hợp danh/ Công ty trách nhiệm hữu hữu hạn tư nhân, có 02 thành viên hợp danh hoặc giám đốc, tối thiểu 51% cổ đông/ Giám đốc điều hành phải là nữ và người này cũng phải là người nộp đơn. Nếu có nhiều hơn 02 thành viên hợp danh hoặc giám đốc, cổ đông lớn nhất phải là phụ nữ, người này cũng phải là Giám đốc điều hành và là người nộp đơn."
Số tiền tài trợ tối thiểu và tối đa là bao nhiêu?,Số tiền tài trợ tối thiểu là Rs. 50.000 (Rs. 35.000 dành cho JCOs đã nghỉ hưu & Hạ tầng - Phụ thuộc vào lương hưu với NUST). Tài trợ tối đa lên đến Rs. 3.000.000 (Đối với khách hàng không phải prime) và lên đến Rs. 4.000.000 (Đối với khách hàng prime). Giới hạn tài trợ tối đa sẽ lên đến 40% Tỷ lệ Gánh nặng Nợ và theo quy định của SBP PR.
Thời gian xử lý hồ sơ là bao lâu?,Thời gian xử lý hồ sơ của Tài chính Cá nhân là 10 ngày làm việc kể từ khi đăng nhập cho đến khi được phê duyệt (phụ thuộc vào việc hồ sơ đầy đủ với các tài liệu yêu cầu).
PakWatan Remittance Account là gì?,"PakWatan Remittance Account là một tài khoản chuyên biệt được thiết kế để hỗ trợ việc nhận kiều hối gửi về Pakistan, mang lại cho người nhận kiều hối khả năng tiếp cận nguồn tiền một cách dễ dàng và nhanh chóng."
Thời hạn tối đa của Tài chính NUST Sahar là bao lâu?,Tài chính Ngắn hạn/Vốn lưu động: Tối đa 3 năm không có thời gian ân hạn. Tài chính Dài hạn: Tối đa 5 năm (bao gồm thời gian ân hạn lên đến 6 tháng). Lãi suất sẽ được thu trong thời gian ân hạn.
Phí bảo hiểm là bao nhiêu?,Tính theo thực tế.
Tôi nên liên hệ với ai trong trường hợp cần khiếu nại về Chuyển tiền Kiều hối?,"Với mọi thắc mắc/khiếu nại liên quan đến Chuyển tiền Kiều hối, bạn có thể liên hệ Trung tâm Dịch vụ Chuyển tiền chuyên trách của chúng tôi theo số UAN# 021-111-000-787. Bạn cũng có thể gửi email thắc mắc/khiếu nại đến địa chỉ remittance@NUSTbank.com.pk"
Thời gian xử lý hồ sơ vay là bao lâu?,"Thời gian xử lý để phê duyệt khoản vay là khoảng 11 ngày làm việc, tùy thuộc vào việc hồ sơ đầy đủ với các tài liệu/thủ tục theo yêu cầu."
Ngân hàng có chịu trách nhiệm cho bất kỳ loại tranh chấp nào liên quan đến Bảo hành/Lỗi xe/Vấn đề dịch vụ với Đại lý hoặc Nhà sản xuất xe không?,Không. Ngân hàng không chịu trách nhiệm này. Khách hàng sẽ tự giải quyết vấn đề trực tiếp với đại lý hoặc nhà sản xuất.
Yêu cầu số dư mở và số dư tối thiểu cho VPCA là gì?,Không yêu cầu số dư mở tài khoản. Không yêu cầu số dư trung bình tối thiểu hàng tháng. Phân bổ tủ gửi đồ (khi có sẵn) khi duy trì số dư trung bình tối thiểu hàng tháng là 50.000 Rs.
Ngân hàng NUST có cung cấp tài khoản nào dành riêng cho Phụ nữ không?,"Có! Ngân hàng NUST cung cấp Tài khoản NUST Sahar. Công dân Pakistan là nữ, cư trú cá nhân có thể mở tài khoản được cung cấp theo Ngân hàng NUST Sahar."
Có phí trả chậm không?,3.000 Rs cho mỗi đợt thanh toán.
Tài khoản này có được bảo hiểm không?,"• Bảo hiểm Rút tiền mặt tại ATM lên đến hạn mức rút tiền mặt hàng ngày của thẻ ghi nợ tại ATM của Ngân hàng NUST. • Bảo hiểm 'Tử vong do Tai nạn & Thương tật Vĩnh viễn' 24 giờ trên toàn thế giới cho chủ thẻ ghi nợ. 500.000 Rs và 700.000 Rs tương ứng cho Thẻ ghi nợ Classic và Gold. • Bảo hiểm 'Tử vong do Tai nạn & Thương tật Vĩnh viễn' 24 giờ trên toàn thế giới. Số tiền bảo hiểm cho mỗi chủ tài khoản sẽ tương đương với bốn lần số dư trung bình hoàn thành trong sáu tháng qua – tối đa lên đến 2,5 triệu Rs."
Ngân hàng NUST có cung cấp bất kỳ hình thức tài trợ nào đặc biệt cho việc sở hữu và nâng cao năng lực của cơ sở kinh doanh không?,Ngân hàng NUST đã xây dựng một sản phẩm tài chính mới 'NUST Imarat Finance' thuộc phân khúc SME. Sản phẩm được phát triển nhằm ổn định hoạt động kinh doanh của các doanh nghiệp SME thông qua việc giúp họ sở hữu cơ sở kinh doanh (theo hình thức tài trợ thế chấp các tòa nhà thương mại/công nghiệp đô thị) để nâng cao năng lực của các SME. Sản phẩm được thiết kế cho các SME thuộc sở hữu của công chúng nói chung cũng như các sĩ quan quân đội đã nghỉ hưu và gia đình của các sĩ quan đang tại ngũ.
Hạn mức cho vay của PMYB & ALS là gì?,"Bậc 2: Trên 0,5 triệu Rupee và lên đến 1,5 triệu Rupee. Bậc 3: Trên 1,5 triệu Rupee và lên đến 7,5 triệu Rupee."
Khoản vay có thể được phê duyệt trong bao nhiêu ngày tại Ask Fauri Business Finance?,Thời gian xử lý (TAT) để hoàn tất việc phê duyệt được ấn định là 03 ngày làm việc kể từ ngày hoàn tất hồ sơ tiền phê duyệt.
Ngân hàng NUST cung cấp những loại sản phẩm Chuyển tiền trong nước nào?,"NUST cung cấp các Sản phẩm Chuyển tiền sau đây để đáp ứng nhu cầu của nhiều đối tượng thụ hưởng chuyển tiền trong nước tại Pakistan:
• Thanh toán Tiền mặt tại Quầy (CoC) cho khách hàng vãng lai
• Chuyển khoản Tài khoản NUST
• Chuyển khoản Tài khoản Ngân hàng Khác thông qua Chuyển tiền Liên ngân hàng (IBFT) & Thanh toán Bù trừ Liên ngân hàng Theo thời gian Thực (RTGS)"
Phí xử lý cho Ứng dụng Tài chính Ask Fauri là bao nhiêu?,Phí cố định 3.000 Rs. tại thời điểm bắt đầu và cho mỗi lần gia hạn.
Tôi có thể sử dụng Dịch vụ Cho vay nếu có khoản nợ quá hạn từ các khoản vay trước đó không?,Không. Việc thanh toán đều đặn các khoản vay trước đó là điều bắt buộc.
Ngân hàng của bạn có cung cấp tài khoản nào cho người cao tuổi không?,"Tài khoản NUST Waqaar được phát triển dành cho người cao tuổi, cho phép họ thực hiện các giao dịch ngân hàng và đồng thời tận dụng các cơ hội đầu tư."
Bảo hiểm tài sản có bắt buộc không?,Có. Bảo hiểm tài sản là bắt buộc; Phí bảo hiểm do bên vay chịu. Nó chi trả chi phí xây dựng của ngôi nhà được tài trợ và giá trị tài sản trong trường hợp căn hộ chung cư.
Có độ tuổi tối thiểu để được hỗ trợ tài chính tại NUST Imarat Finance không?,"Kinh doanh mới: Tối thiểu 30 tuổi tại thời điểm nộp đơn, tuy nhiên độ tuổi không được vượt quá 60 tuổi khi khoản vay đáo hạn. Kinh doanh hiện có: Tối thiểu 30 tuổi tại thời điểm nộp đơn, tuy nhiên độ tuổi không được vượt quá 65 tuổi khi khoản vay đáo hạn."
Ai có thể đăng ký Tài chính Cá nhân NUST?,"1. Sĩ quan Lực lượng Vũ trang: Nhân viên đang tại ngũ, nhân viên đã nghỉ hưu. 2. Hạ sĩ quan/Cấp bậc tương đương & Thấp hơn: Nhân viên đang tại ngũ, nhân viên đã nghỉ hưu. 3. Lực lượng Vũ trang Đồng minh (SPD & các đơn vị liên kết) và Dân sự (tại GHQ/NHQ & AHQ): Nhân viên đang làm việc (Nhân viên Biên chế & Hợp đồng). 4. Tập đoàn Fauji Foundation: Nhân viên biên chế, nhân viên hợp đồng. 5. Cá nhân hưởng lương: Nhân viên biên chế, nhân viên hợp đồng. 6. Cơ quan Chính phủ / Bán Chính phủ / Tự trị: Nhân viên biên chế, nhân viên hợp đồng, nhân viên đã nghỉ hưu. 7. Nhân viên NUST (được điều chỉnh theo Chính sách Nhân sự)."
Giờ làm việc ngân hàng của NUST để sử dụng dịch vụ chuyển tiền kiều hối từ các chi nhánh NUST là khi nào?,"Khách hàng có thể sử dụng dịch vụ chuyển tiền kiều hối từ các chi nhánh nội địa của NUST trong giờ làm việc thông thường:
• Thứ Hai đến Thứ Năm: 09:00 sáng đến 05:00 chiều
• Thứ Sáu: 09:00 sáng đến 05:30 chiều
• Thứ Bảy: 09:00 sáng đến 01:30 chiều (thông qua các chi nhánh được chọn)"
Có yêu cầu nào về độ tuổi kinh doanh không?,Doanh nghiệp hiện hữu: Lịch sử hoạt động tối thiểu 3 năm.
Tài khoản Số Asaan của NUST là gì?,"Tài khoản Số Asaan của NUST là một sản phẩm ngân hàng số cung cấp một nền tảng đơn giản, dễ sử dụng để khách hàng quản lý tài chính của mình một cách thuận tiện trực tuyến."
Tần suất trả nợ trong NUST Ujala Finance là gì?,Người vay SE/ME: Hàng tháng / Hàng quý. Người vay trong nước: Hàng tháng. Nhân viên NUST: Hàng tháng. Nhà cung cấp/Nhà cung cấp: Hàng quý/Nửa năm (theo dòng tiền của người vay).
Có bất kỳ bảo hiểm nào được áp dụng không?,Bảo hiểm Rút Tiền Mặt Từ ATM. Xử lý nhanh chóng các khoản vay Kamyab Jawan của Ngân hàng Nhà nước Pakistan (SBP).
Thời gian xử lý hồ sơ là bao lâu?,"Thời gian xử lý hồ sơ Tài chính Thế chấp là 30 ngày kể từ khi đăng nhập cho đến khi được phê duyệt, với điều kiện hồ sơ đầy đủ và kèm theo các tài liệu cần thiết."
Các tính năng miễn phí có sẵn với Tài khoản Chia sẻ Lợi nhuận và Thua lỗ (PLS) Tiết kiệm NUST là gì?,Bảng sao kê điện tử & Ngân hàng trực tuyến miễn phí. Gửi/Rút tiền mặt trực tuyến liên chi nhánh miễn phí (Trực tuyến). Chuyển khoản nội bộ miễn phí trong NUST qua chi nhánh (Chuyển khoản trực tuyến). Phát hành Séc ngân hàng miễn phí. Cảnh báo SMS miễn phí về Giao dịch Kỹ thuật số.
Mục đích của Tài chính Lúa gạo NUST được cung cấp cho những mục đích nào?,"Tài chính Tiền mặt (CF) Để đáp ứng nhu cầu vốn lưu động của các Nhà máy Xay xát Lúa gạo cho việc thu mua lúa theo công suất xay xát. Tài chính Hoạt động (RF) Để đáp ứng nhu cầu vốn lưu động của các Nhà máy Xay xát Lúa gạo, ví dụ như chi phí vận chuyển, lương & tiền công, tiện ích và các chi phí hành chính khác, v.v. (Việc thu mua lúa bằng nguồn vốn RF bị hạn chế)."
Tỷ lệ lợi nhuận cho tiền gửi có kỳ hạn bằng ngoại tệ là bao nhiêu?,"Tỷ lệ Lợi nhuận cho USD: 0,0025, GBP: 0,0025, EUR: 0."
Thời hạn tối đa của NUST Imarat Finance là bao lâu?,AIF 1: Tối đa 10 năm (Thời gian ân hạn lên đến 6 tháng). AIF 2: Tối đa 10 năm (Thời gian ân hạn lên đến 9 tháng). AIF 3: Tối đa 8 năm (Thời gian ân hạn lên đến 6 tháng). AIF 4: Tối đa 3 năm (Thời gian ân hạn lên đến 3 tháng). (Lãi suất sẽ được thu trong thời gian ân hạn).
Tôi có thể thực hiện thanh toán balloon hoặc chấm dứt hợp đồng trước hạn không?,"Có, tùy chọn thanh toán balloon hoặc chấm dứt hợp đồng trước hạn có sẵn cho tất cả khách hàng. Phí sẽ được áp dụng theo biểu phí hiện hành của Ngân hàng."
