,instruction,input,output
511,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the Loan Limits of NUST Flour Mill Finance?,Per party (single entity) can avail up to Rs. 75M for ME and Rs. 25M for SE.
512,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Application processing time?,The processing time of Personal Finance is 10 working days from login till approval (subject to complete application with required documents).
513,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the markup repayment frequency in Ask Fauri Business Finance?,"AFBF-1: Monthly / Quarterly, AFBF-2: Monthly / Quarterly, AFBF-3: Upfront, AFBF-4: Upfront."
514,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the current Mark-up rate of Ask Fauri Business Finance?,"AFBF-1: 3MK /COD +1.50%, AFBF-2: 12 MK /COD +2.0%, AFBF-3: As per SOC, AFBF-4: As per SOC."
515,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",I would like to inquire about opening a current account for business purpose with your Bank. Please tell me what options I have?,"NUST Value Premium Business Account is best suited for medium to large enterprises, partnership firms, and corporate organizations."
516,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the valuation/BOQ charges?,At actual.
517,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",For which purposes NUST Flour Mill Finance is being offered?,"Cash Finance (CF) to meet working capital requirements of flour mill business for procurement of wheat as per milling capacity. Running Finance (RF) to meet working capital requirements such as transportation, salary & wages, utility, and other administrative expenses (Procurement of wheat through RF funds is restricted)."
518,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",How many NUST Life Insurance Plans are available?,"• NUST Life Value Plan: Life time Protection and Saving Plan, Premium = 18K. • NUST Life Munafa Mehfooz Plan: Limited Time Plan (5 Years), Premium = 50K."
519,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the profit rate for NUST Maximiser Savings Account?,Profit Payment: Monthly. Profit Rate: 0.19.
520,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the Application Processing Charges?,Processing Charges will be as per prevailing Bank’s Schedule of Charges (SOC).
521,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the service/documentation/legal charges in NUST Flour Mill Finance?,At actual.
522,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the insurance charges?,At actual.
523,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Account type of NUST Freelancer Digital Account? Is it Current or Saving?,"NUST Freelancer Digital Account offers Current Account in PKR & FCY (USD, GBP, EUR, AED)."
524,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",For which purposes NUST Hunarmand Finance is being offered?,• To start a new business • To expand an existing business.
525,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries","For all Jubilee Life Banca Products, are brochures available?","Yes, brochures are available for all Jubilee Life Banca Products."
526,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",In which area of the country one can avail Personal Finance from NUST?,Personal Finance can be availed from all cities where NUST branches exist.
527,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the nature of finance in NUST Sahar Finance?,i. Long Term Finance ii. Short Term Finance/Working Capital
528,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any late payment charges?,"In case of delay of installment, commercial rate will be charged on overdue days."
529,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the minimum and maximum financing amount?,"Clean facility, Minimum Rs. 30,000/- and maximum up to 3.0 Million or as per 40% Debt Burden Ratio subject to SBP PRs."
530,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the main features of NUST Sahar Term Deposit?,"Flexibility to choose from multiple tenure: 1, 3 or 5 Years. Investments start from as low as Rs. 50,000. Monthly Profit Payment in your NUST Sahar Current Account. Roll-over option available. Deals to be booked from NUST Sahar Current Account Only."
531,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the maximum tenure of NUST Flour Mill Finance?,Maximum 1 year as per clean-up corridors.
532,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is Zakat and WHT taxes applicable on Roshan Digital Account?,Zakat and WHT taxes on profit are not applicable on RDA account.
533,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the profit rate for PLS Savings Account?,Profit Payment: Semi-Annually. Profit Rate: 0.19.
534,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I pay my loan before maturity?,"Yes. You can pay your loan before maturity. However, charges shall be applicable as per prevailing SOC."
535,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any charges/fee for NUST's Home Remittance Service?,NUST Home Remittance Service is free of charge.
536,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Target Market of NUST Asaan Digital Account?,NUST Asaan Digital Account is specially designed for unbanked / under-banked customer segments. This account is most suited for but not limited to skilled/unskilled workforce.
537,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the minimum balance requirement of NUST Special Deposit Account?,No Minimum Monthly Average Balance Requirement. No Minimum Opening Balance Requirement.
538,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Application processing time?,The processing time of Credit Card facility is 10 working days from login till approval subject to complete application with required documentation.
539,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the main features of NUST Profit & Loss Sharing (PLS) Account?,"Offered in LCY (PKR) & FCY (USD, GBP, EUR, JPY & AED). Account opening deposit of Rs.100 for LCY, US $500 or equivalent for FCY. Debit Card Issuance against LCY account. Profit Calculation: Monthly Average Balance. Profit Payment Frequency: Semi-Annually. Profit Rate: 0.19 for LCY, 0.1925 for PLS Pensioners Account."
540,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the main features of the Roshan Digital Account?,"Offered in PKR and USD/GBP/EUR. SMS Alerts on registered local and international numbers. Bill payments & funds transfer within Pakistan via local ATMs & internet banking. Investment in Naya Pakistan Certificates, Real Estate, NUST Term Deposits Receipts, and Stock Market. Note: Local deposits are not allowed in RDA."
541,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is NUST Bank offering any account specifically for Women?,Yes! NUST Bank offers NUST Sahar Account. Female Individual Resident Pakistanis can open the account offered under NUST Sahar Banking.
542,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I purchase Bancassurance policy from my account maintained with NUST Bank?,"Yes, every customer who attains the age of 18 and has an account with NUST Bank is eligible to purchase a Bancassurance policy from their account."
543,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the processing charges for NUST Rice Finance Application?,"Processing fee will be charged @ 0.15% of total limit(s) processed/approved or Rs. 25,000/- whichever is higher."
544,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",I would like to inquire about opening a current account for Individuals with your Bank. Please tell me what options I have?,NUST Value Plus Current Account is specially designed for individuals to cater their financial needs.
545,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What documents are required to open a Little Champs Account?,"• A photocopy of Form-B, Birth Certificate, or Student ID card (as appropriate) of the minor
• A photocopy of any one of the following valid identity documents of the guardian of the minor:
  1. Computerized National Identity Card (CNIC) issued by NADRA
  2. National Identity Card for Overseas Pakistani (NICOP) issued by NADRA
  3. Pakistan Origin Card (POC) issued by NADRA
  4. Alien Registration Card (ARC) issued by National Aliens Registration Authority (NARA), Ministry of Interior (local currency account only)
  5. Passport, with a valid visa, or any other proof of legal stay along with passport (foreign national individuals only)
  6. Source of income of guardian."
546,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",In which area of the country one can avail Credit Card facility?,Credit Card can be availed from all cities / Areas without discrimination.
547,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Loan Application processing time?,"The processing time for loan approval is approximately 11 working days, subject to complete application with required documents/formalities."
548,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the repayment mode?,"Payment of Equal Monthly Installment (EMI) comprising of principal, mark-up and Insurance cost etc. will be made through Direct Debit Authority (DDA) of borrower’s account maintained with NUST."
549,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Does the bank require any Equity for this scheme?,"New Business: 20% equity. Existing Business: No equity, the existing investment in business will be considered as equity."
550,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any premature termination / Balloon payment charges?,Nil.
551,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Does the bank require any Equity for this scheme?,"Tier 2: 10% (New Business). Tier 3: 20% (New Business). In case of existing business, equity is not required."
552,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Please tell me about the Minimum Monthly balance required for this account?,"No initial deposit requirement. Rs. 100,000/- (Monthly Average Balance)."
553,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Does NUST Bank have a specialized remittance Account as per SBP guideline?,"Yes, NUST has a remittance account named Pak Wattan Remittance Account."
554,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",This product is available in two variants:,· NUST Maximiser Savings Account · NUST Maximiser Term Deposit
555,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can overseas Pakistanis obtain Credit Card facility from NUST?,"Yes. The individuals maintaining FC account with NUST, Remittances/ Roshan Digital Account holders, Holders of Naya Pakistan Certificates can apply for NUST MasterCard Credit Cards on lien basis. Note: Facility can only be allowed in case of FC joint account maintaining with NUST (one person should be residing in Pakistan)."
556,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the account type of NAA?,NAA can be opened both in Current & Savings.
557,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Eligibility Criteria for NAA?,Resident Pakistani individuals who do not maintain/have any other account (single or joint) in NUST Bank Limited are eligible to open the NAA in Pak rupees as a single/joint account.
558,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the minimum age for applying NUST Mortgage Finance?,"Salaried: 21 Years, SEB/SEP: 23 Years."
559,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Please tell me about the free facilities being provided on Value Plus Current Account for Business upon maintaining minimum Monthly average Balance?,Issuance of Cheque Books. Duplicate Account Statement. Issuance of Debit Card (Subsequent Charges/Annual Fees would be as per prevailing SOC). Internet Banking facility. SMS Alerts on Digital Transaction. E-statement. Inter Branch Online Cash Deposit/Withdrawal (Online). Internal Fund Transfer within NUST via branch (Online Transfer). Banker’s Cheque Issuance.
560,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I avail more than one vehicle through Auto loan facility?,"Yes. Two vehicles can be availed simultaneously from NUST Bank, subject to Debt Burden Limitations."
561,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",For which purpose NUST Imarat Finance is being offered?,AIF 1: Acquisition/Purchase of urban commercial/industrial constructed property/office and commercial premises for business activity. AIF 2: Construction on self-owned urban commercial/industrial plot. AIF 3: Additional construction on already built urban commercial/industrial plaza/building. AIF 4: Renovation of self-owned urban commercial/industrial property/plaza/business premises.
562,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Please tell me about the free facilities being provided on Value Plus Current Account for Business upon maintaining minimum Monthly average Balance?,Issuance of Cheque Books. Duplicate Account Statement. Issuance of Debit Card (Subsequent Charges/Annual Fees would be as per prevailing SOC). Internet Banking facility. SMS Alerts on Digital Transaction. E-statement. Inter Branch Online Cash Deposit/Withdrawal (Online). Internal Fund Transfer within NUST via branch (Online Transfer). Banker’s Cheque Issuance.
563,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Target Market of NUST Asaan Digital Account?,NUST Asaan Digital Account is specially designed for unbanked / under-banked customer segments. This account is most suited for but not limited to skilled/unskilled workforce.
564,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Does NUST Bank offer a Digital Banking Account for Freelancers?,"NUST Freelancer Digital Account is exclusively designed for Freelancers, so that they can receive their payments directly in a bank account and enjoy other lifestyle banking services as well."
565,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",How to apply for Roshan Digital Account?,"Customer can visit NUST Bank’s website and click on 'Apply for Roshan Digital Account' to open the account. Customer would complete the account opening form and submit the required documents. Customer request to open Roshan Digital Account will be processed in 48 working hours. In case of any discrepancy or requirement of additional information, the bank will contact the customer accordingly as per provided contact details."
566,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are there any Credit and Debit limits in NUST Freelancer Digital Account?,"The following Transaction limits apply: Maximum Credit Balance Limit USD 5,000 or equivalent, Monthly Debit Limit USD 5,000 or equivalent, Cash Withdrawal Limit PKR 500,000 or equivalent / per day."
567,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",How many Jubilee Life Insurance Plans are available?,"• Jubilee Life Savings and Protection Plan - Lifetime Protection and Saving Plan
• Jubilee Life Education Plan - Limited Time Plan (Continuation Benefits)
• Jubilee Life Marriage Plan - Limited Time Plan (Continuation Benefits)
• Jubilee Life Retirement Plan - Saving & Protection"
568,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I receive remittance in Pakistan if I do not have a bank account with any bank?,You can receive your home remittance from any of NUST 600+ domestic branches nationwide if you have a valid CNIC and Transaction Unique Reference No. / Pin code.
569,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any minimum age to avail financing in NUST Flour Mill Finance?,"The age of the borrower (in case of sole-proprietorship) must be minimum 20 years, and not exceed 65 years at the time of application. This age limit can be relaxed in case of effective succession planning for business operations. This criteria is not applicable if the business concern is a partnership or limited company."
570,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the opening and minimum balance requirement for VPCA?,"No Opening Balance Requirements. No Minimum Monthly Average Balance Requirements. Allocation of Lockers (upon availability) on maintaining a minimum monthly average balance of Rs. 50,000."
571,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What happens if I fail to fulfil your payment obligations?,"In case of overdue / default, recovery department of NUST will contact you, your loan-related details will be reported to Credit Bureau. Late payment will be applicable as per prevailing schedule of charges. Legal proceeding may also be initiated by the Bank."
572,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Nature of loan allowed in NUST Hunarmand Finance?,• Long term / Development Loans • Working capital / Production Loans.
573,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the profit rate for PakWatan Remittance Account?,Profit Payment: Monthly. Profit Rate: 0.19.
574,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is NUST Life Bancassurance Policy?,"NUST Life Bancassurance Policy is an insurance product offered through NUST Bank, providing life insurance coverage to individuals in partnership with insurance providers."
575,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Are Local Credits allowed in PakWatan Remittance Account?,Local credits are also allowed in PakWatan Remittance Account.
576,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the target market for Current Deposit Account?,"Individuals (either singly or jointly); Proprietorship Concerns, Business Owners; Partnership Firms; Public and Private Limited Companies; Government Organizations; Corporations, Clubs, Societies, NGOs etc."
577,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the minimum age to qualify for opening NUST Waqaar Account & Minimum deposit requirement?,"Minimum age to qualify is 55 years. In case of a joint account, the primary account holder must satisfy the age criteria."
578,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What will be the monthly insurance charges on a vehicle valuing Rs.3 million?,"With the current insurance rate of 1.75% per annum, it will be Rs.4,375/- per month. Insurance rate once fixed, shall remain unchanged during the whole tenor of financing."
579,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the account type of NUST Sahar Account?,"NUST Sahar Deposit suite consists of following variants: 1- NUST Sahar Current Account, 2- NUST Sahar Savings Account, 3- NUST Sahar Term Deposits, 4- NUST Sahar Asaan Current Account."
580,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the main features of the account?,Non-Interest based Account; Frequent Transaction and Funds Accessibility
581,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is NUST Bank offering any account specifically for Women?,Yes! NUST Bank offers NUST Sahar Account. Female Individual Resident Pakistanis can open the account offered under NUST Sahar Banking.
582,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any minimum business age requirement?,Existing Business Should be women owned enterprises with Minimum 01 year of business registration. New Business: Nil.
583,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any minimum business age requirement?,Existing Business Should be women owned enterprises with Minimum 01 year of business registration. New Business: Nil.
584,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Application processing time?,The processing time of Mortgage Finance is 30 days from login till approval subject to complete application with required documents.
585,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",In how many days the loan can be approved in Ask Fauri Business Finance?,Turnaround time (TAT) for disposal of the approval is fixed to 03 days from the date of pre-approval completion of documents.
586,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Does NUST Bank offer a Digital Banking Account for Freelancers?,"NUST Freelancer Digital Account is exclusively designed for Freelancers, so that they can receive their payments directly in a bank account and enjoy other lifestyle banking services as well."
587,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the main Features of the Little Champs Account?,"• Minimum initial deposit of Rs.100/-
• Little Champs Savings A/C
• Free first chequebook* (For Current Account only)
• Free debit card* (annual/replacement fees apply)
• Profit Payment: Semi-Annually
• Profit Rate: 0.19
• Daily funds Transfer Limit: Rs.100,000/-
• Daily ATM Withdrawal Limit: Rs.25,000/-
• Daily POS Limit: Rs.50,000/-"
588,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is EFU Life Bancassurance Policy?,"EFU Life Bancassurance Policy is an insurance product provided through NUST Bank in collaboration with EFU Life Assurance Company, offering various life insurance solutions."
589,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any business age requirement?,No.
590,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there a Minimum balance requirement for NUST Sahar Current Account?,No minimum average balance requirement for account maintenance.
591,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Value Plus Current Account (Individual) (VPCA)?,"Value Plus Current Account (VPCA) is an individual current account product that offers value-added features, making it suitable for personal banking with additional benefits for the account holder."
592,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the valuation/BOQ charges?,At actual.
593,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Please tell me about the free facilities being provided on Value Plus Current Account for Premium Business upon maintaining minimum Monthly average Balance?,Issuance of Cheque Books. Duplicate Account Statement. Issuance of Debit Card (Subsequent Charges/Annual Fees would be as per prevailing SOC). Internet Banking facility. SMS Alerts on Digital Transaction. Same Day & Intercity Cheque Deposit. E-statement. Inter Branch Online Cash Deposit/Withdrawal (Online). Internal Fund Transfer within NUST via branch (Online Transfer). Banker’s Cheque Issuance. Free LC / LG issuance (Cash backed or Account lien based).
594,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the main features of JLI Bancassurance Policy?,"- Short term Family Protection and in Long term Savings
- Minimum Policy Amount = 18,000, No Maximum Limit of policy
- Minimum Policy Term = 10 Years
- Additional benefits also available on cost (Riders and additional term insurance)
- Jubilee Life offers different plans to customers as per their needs and demands."
595,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can remittance be sent from anywhere to Pakistan?,"Yes, remittance can be sent from around the globe to Pakistan through our agent partners like Western Union, Mastercard, Dandelion Payments (RIA), etc. For more information please go through the following link: https://NUSTbank.com/services-home-remittance-our-partners/"
596,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Can I make balloon payments or premature termination is allowed?,"Yes, Balloon payment or premature termination option is available for all customers. Charges will be applied as per prevailing Bank’s schedule of charges."
597,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the profit rate offered on this account and when is credited?,"Profit payment on monthly basis based on monthly average balance. Profit Rate: 0.19, credited monthly."
598,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the repayment frequency in NUST Hunarmand Finance?,Repayment of AHF loans will be made in the form of monthly or quarterly installments (or as per SBP’s directives).
599,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any minimum age to avail financing in NUST Rice Finance?,"Minimum 20 years (in case of sole proprietorship), Maximum 65 years at the time of application. This criteria is not applicable if business concern is a partnership or limited company. This age can be relaxed in case of effective succession planning is available."
600,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What is the Account type of NUST Asaan Digital Account? is it Current or Saving?,NUST Asaan Digital account is a Current Account in PKR currency.
601,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",How can I obtain a Proceed Realization Certificate (PRC)/Encashment Certificate against remittance(s) received? Who should I contact?,"e-PRC option is also available at the NUST website https://secureportal.NUSTbank.com/eprc/customer to obtain a system generated PRC on your registered email address.
Proceeds Realization Certificate (PRC) is issued from NUST Centralized Remittance Department. You may contact them at remittance.prc@NUSTbank.com.pk"
602,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the processing charges for NUST Sahar Finance Application?,Up to Rs. 0.70 Million: Rs. 2000/- (Non refundable). Above Rs. 0.70 and upto Rs. 5 Million: Rs. 3000/- (Non refundable).
603,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the main features of these EFU Insurance Plans?," - 14 Days Free Look Period start from the day customer received Policy Documents.
 - Unit Link growth system (EFU allocate Mutual fund units to customer, policy growth depends on the unit rate growth just like share Market)
 - NUST bank is only acting as a Corporate Sales Agent. It’s an Insurance plan not to be considered as any Account or Term deposit which has annual Fixed Returns.
 - In case of early termination, only Cash Value of policy will be payable to customer (current market rate of Mutual funds units will be reimbursed)
 - Cancellation of policy and full refund option is available if policy documents returned during Free Look Period i.e. 14 days of receipt of documents
 - Cash Values of policy may differ from the tentative returns provided on illustration document (illustration document is only for information)"
604,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the processing charges for PMYB & ALS?,Rs. 100/-
605,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the insurance charges?,At actual.
606,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the insurance charges?,At actual.
607,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any list of branches I can access to get information?,The list of NUST domestic branches can be viewed from the Branch Locator available on our corporate website www.nustbank.com. https://NUSTbank.com/find-us/
608,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Who is eligible for this account?,"Eligibility for NUST Asaan Digital Account includes: Skilled/Unskilled Workforce, Less Educated/Uneducated People, Farmers, Laborers/Daily Wagers, Women/Housewives, Self-Employed Individuals, and Young Adults."
609,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the minimum & maximum financing tenures?,Minimum 01 year. Maximum 04 years (up to 7 years for Education Loan) or as per prevailing SBP PRs.
610,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the free facilities associated with Roshan Digital Account?,Free First Issuance of Debit Card (annual charges as per prevailing SOC). Free I-Net banking. Free E-statements.
611,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What would be the financing tenure?,NUST Credit Card is an Evergreen facility & renewable after expiry of credit card.
612,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the processing charges for NUST Sahar Finance Application?,Up to Rs. 0.70 Million: Rs. 2000/- (Non refundable). Above Rs. 0.70 and upto Rs. 5 Million: Rs. 3000/- (Non refundable).
613,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the insurance charges?,At actual.
614,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",How will I get update of my House Loan Application?,Our Sales/ front end staff is quite supportive and always there to serve you. You can visit/call or send email at our Customer Services center(s) as well. Email Address: CustomerServices@nustbank.com.pk.
615,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What are the free facilities being provided with NUST Value Plus Current Account?,Cheque Books (unlimited). Debit Card (First is free). 2 Supplementary Debit Cards. Duplicate Account Statements. On-line Fund Transfer Facility. Free SMS alerts facility on Digital Transactions. Free E-statement & I-Net Banking. Free Inter Branch Online Cash Deposit/Withdrawal (Online). Free Internal Fund Transfer within NUST via branch (Online Transfer). Free Banker’s Cheque Issuance.
616,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",What types of Inward Home Remittance products does NUST Bank offer?,"NUST offers the following Home Remittance Products to cater to the needs of various home remittance beneficiaries in Pakistan:
• Cash Over the Counter (CoC) payments for walk-in customers
• NUST Account Transfer
• Other Bank Account Transfer via Inter Bank Funds Transfer (IBFT) & Real Time Gross Settlement (RTGS)"
617,"You are an expert bank customer service bot for NUST Bank. Provide accurate, helpful, and concise answers to customer questions and queries",Is there any minimum age to avail financing in NUST Rice Finance?,"Minimum 20 years (in case of sole proprietorship), Maximum 65 years at the time of application. This criteria is not applicable if business concern is a partnership or limited company. This age can be relaxed in case of effective succession planning is available."
