cid,topic,text
33,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 3. QUYỀN VÀ NGHĨA VỤ CỦA KHÁCH HÀNG
2. KH có các nghĩa vụ sau:
p. Thực  hiện  các  biện  pháp  bảo đảm  an  toàn, bảo  mật  trong  giao  dịch  tài  khoản  theo  các 
hướng  dẫn,  cảnh  báo,  khuyến  nghị  của ngân hàng, cơ quan nhà nước  bao  gồm nhưng 
không giới hạn việc thực hiện các biện pháp sau: 
- Bảo mật các thông tin cá nhân, thông tin tài khoản, thẻ, tên đăng nhập, mật khẩu, OTP, 
yếu tố nhận diện, xác thực KH mà KH đăng ký với Sacombank hoặc được Sacombank 
cung cấp  hoặc sử dụng để nhận diện, xác thực KH trong quá trình sử dụng TK, tự bảo 
quản giấy tờ tùy thân, thẻ ngân hàng, các thiết bị điện tử, phần mềm được sử dụng để 
truy cập, sử dụng dịch vụ, xác thực giao dịch và thực hiện tất cả các biện pháp cần thiết 
ở mức độ cao nhất nhằm phòng ngừa việc sử dụng trái phép các thông tin, giấy tờ, 
thiết bị, phần mềm này, đảm bảo chỉ có KH là người trực tiếp sử dụng và chịu mọi rủi 
ro, thiệt hại (nếu có) nếu không tuân thủ nghĩa vụ này.  
- Tuyệt đối không cung cấp, tiết lộ bằng bất cứ hình thức nào, dù vô tình hay cố ý các 
thông tin cần bảo mật cho bất kỳ ai tại bất kỳ nơi nào và vào bất kỳ thời điểm nào hoặc 
nhập bất kỳ thông tin cần bảo mật nào trên các kênh giao dịch không được Sacombank 
công bố công khai. 
- Bảo quản Giấy tờ tùy thân, thiết bị sử dụng để truy cập dịch vụ ngân hàng cẩn thận, 
tránh thất lạc, bị lấy mất; không được cho thuê, cho mượn, cầm cố Giấy tờ tùy thân. 
- Không lưu thông tin đăng nhập tại tất cả phần mềm, trình duyệt web nào có khả năng 
lưu lại tự động. 
- Không truy cập website hoặc cài đặt các phần mềm lạ, không rõ nguồn gốc, gây hại 
đến thiết bị điện tử sử dụng để truy cập, sử dụng dịch vụ ngân hàng điện tử. 
- Không sử dụng các thiết bị điện tử bị “bẻ khóa” hoặc “can thiệt quyền kiểm soát” hoặc 
không đảm bảo an toàn để truy cập, sử dụng dịch vụ ngân hàng điện tử. 
- Kịp thời thông báo cho Sacombank khi phát sinh các trường hợp rủi ro liên quan đến 
TK của mình (bao gồm trường hợp KH phát hiện thấy có sai sót, nhầm lẫn trên TK của 
mình; bị mất, thất lạc các thiết bị truy cập dịch vụ; bị lộ hoặc nghi ngờ bị lộ các thông 
tin cần bảo mật; nghi ngờ TK bị lợi dụng) theo số điện thoại 1800 5858 88 (hoặc số 
điện thoại được Sacombank thông báo theo từng thời kỳ) hoặc liên hệ trực tiếp đến 
các  Điểm  giao  dịch  của  Sacombank  để  xử  lý.  KH  đồng  ý  quá  trình  làm  việc  với 
Sacombank có thể được ghi âm và đồng ý xác nhận bằng văn bản bất kỳ chi tiết nào 
của sự việc, đồng thời đề nghị Sacombank áp dụng các biện pháp nghiệp vụ để hạn 
chế  thiệt  hại,  tổn  thất,  rủi  ro  cho  KH  và  chịu  trách  nhiệm  toàn  bộ tổn  thất  tài  chính 
trước thời điểm KH đề nghị tạm dừng cung ứng dịch vụ. 
- Chủ động cập nhật và tuân thủ các cảnh báo, khuyến nghị của ngân hàng về đảm bảo 
an  toàn,  bảo  mật  giao  dịch  TK  trong  từng  thời điểm được  niêm  yết  công  khai  trên 
website và các phương tiện truyền thông của ngân hàng để tránh bị lời dụng, lừa đảo, 
gian lận."
34,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 3. QUYỀN VÀ NGHĨA VỤ CỦA KHÁCH HÀNG
2. KH có các nghĩa vụ sau:
q. Đồng ý và chấp thuận cho Sacombank được áp dụng các biện pháp bổ sung để xác thực 
KH như chụp ảnh, lấy dấu vây tay và xác thực thông qua các yếu tố sinh trắc học của KH, 
cung cấp thêm các thông tin, giấy tờ khác ngoài các giấy tờ trong hồ sơ đăng ký mở TK 
theo yêu cầu của Sacombank. 
r.  Đảm bảo số điện thoại, email KH đăng ký mở TK phải là thuê bao, email đã được kích hoạt 
và KH có toàn quyền sở hữu, truy cập sử dụng hợp pháp, hợp lệ số điện thoại, email này; 
và phải thông báo cho Sacombank ngay lập tức khi phát sinh bất kỳ sự thay đổi nào liên 
quan đến các thông tin liên lạc bao gồm: số điện thoại, địa chỉ, email mà KH đã đăng ký 
(cho dù thay đổi này phát sinh do việc KH thay đổi thông tin liên lạc mới, ngừng sử dụng 
dịch vụ viễn thông, mất điện thoại hoặc bất kỳ lí do nào khác). Trừ khi nhận được thông 
báo thay đổi từ KH, Sacombank sẽ tiếp tục cung cấp dịch vụ, xác thực KH qua các thông 
tin liên lạc mà KH đăng ký với Sacombank. 
s.  Bổ sung, cung cấp lại thông tin, hồ sơ để Sacombank tiến hành xác minh lại và/hoặc đến 
trực tiếp Điểm giao dịch của Sacombank để thực hiện các thủ tục nhận diện KH khi nhận 
được yêu cầu từ Sacombank. 
"
35,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 3. QUYỀN VÀ NGHĨA VỤ CỦA KHÁCH HÀNG
2. KH có các nghĩa vụ sau:
t.  Trường hợp mở TK và/hoặc liên kết TK và/hoặc sử dụng TK liên kết trên Ứng dụng đối tác, 
KH xác nhận: 
(i) Đồng ý cho Đối tác được quyền thu thập, sử dụng và cung cấp những thông tin mà 
KH đăng ký/cập nhật với Đối tác (bao gồm các thông tin KH, thông tin xác thực giao 
dịch, giấy tờ pháp lý của KH) cho Sacombank. 
(ii) Các thông tin cung cấp qua Ứng dụng Đối tác là đúng sự thật, chính xác và còn hiệu 
lực. KH phải cập nhật thông tin cho Sacombank khi có sự thay đổi thông tin đã cung 
cấp. 
(iii)  Hiểu rõ vai trò của Đối tác là đơn vị chịu trách nhiệm thu thập, xác minh thông tin nhận 
biết  KH,  giấy  tờ  pháp  lý  của  KH,  cung  cấp  thông  tin,  kết  quả  xác  minh  này  cho 
Sacombank, là đơn vị trung gian thực hiện truyền dẫn dữ liệu về các yêu cầu mở TK, 
yêu cầu giao dịch KH với Sacombank thông qua Ứng dụng Đối tác và xác thực yêu cầu 
này được khởi tạo bởi chính KH là chủ tài khoản Ứng dụng Đối tác. Chủ tài khoản Ứng 
dụng đối tác là chủ thể đã được Đối tác nhận biết, xác định danh tính và các thông tin 
KH mà Đối tác gửi cho Sacombank khớp với thông tin KH đã được Đối tác nhận biết 
theo quy định pháp luật. 
u. Chấp hành các quy định, nghĩa vụ khác theo Hợp đồng này, quy định của pháp luật và theo 
thỏa thuận trước bằng văn bản giữa KH với Sacombank không trái với quy định của pháp 
luật hiện hành."
36,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 4. QUYỀN VÀ NGHĨA VỤ CỦA SACOMBANK 
1. Sacombank có các quyền sau: 
a.  Được chủ động trích (ghi Nợ) TK của KH mà không bị giới hạn bởi hạn mức tại khoản 3 
Điều 2 và khoản 5 Điều 2A của Hợp đồng này trong trường hợp: 
(i) Để thu các khoản tiền mà KH có nghĩa vụ thanh toán cho Sacombank bao gồm nhưng 
không giới hạn các khoản nợ đến hạn, quá hạn, tiền lãi và các chi phí phát sinh trong 
quá trình quản lý TK và cung ứng các sản phẩm, dịch vụ cho KH (bao gồm cả dịch vụ 
cung ứng trên tất cả TK của KH tại Sacombank). Trường hợp TK nợ phí của KH không 
đủ số dư để Sacombank thu phí, Sacombank có quyền thu phí trên TK còn số dư cao 
nhất tại thời điểm thu phí. 
(ii) Theo yêu cầu bằng văn bản của cơ quan nhà nước có thẩm quyền trong việc cưỡng 
chế thi hành quyết định về xử phạt vi phạm hành chính, quyết định thi hành án, quyết 
định thu thuế hoặc thực hiện các nghĩa vụ thanh toán khác theo quy định của pháp 
luật. 
(iii)  Để điều chỉnh các khoản mục bị hạch toán sai, hạch toán không đúng bản chất hoặc 
không phù hợp với nội dung sử dụng của TK theo quy định của pháp luật và thông 
báo cho KH biết. 
(iv)  Khi phát hiện đã ghi Có nhầm vào TK của KH hoặc theo yêu cầu hủy lệnh chuyển Có 
của tổ chức cung ứng dịch vụ thanh toán chuyển tiền, để tránh hiểu nhầm, Sacombank 
sẽ được quyền chủ động ghi Nợ theo yêu cầu hủy lệnh chuyển Có của tổ chức cung 
ứng  dịch  vụ  thanh  toán  chuyển  tiền  mà  không  cần  xem  xét  nguyên  nhân  hủy  lệnh 
chuyển có đó. Khi đó, mọi khiếu nại, tranh chấp (nếu có), KH liên hệ tổ chức cung ứng 
dịch vụ thanh toán chuyển tiền đã yêu cầu hủy lệnh đó. 
(v) Để chi trả các khoản thanh toán thường xuyên, định kỳ theo thỏa thuận giữa KH với 
Sacombank. 
(vi)  Các trường hợp trích Nợ khác liên quan đến gian lận, lừa đảo khi có kết luận của cơ 
quan có thẩm quyền. 
(vii) Các trường hợp khác theo thỏa thuận giữa KH và Sacombank hoặc theo quy định của 
pháp luật."
37,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 4. QUYỀN VÀ NGHĨA VỤ CỦA SACOMBANK 
1. Sacombank có các quyền sau: 
b. Được quyền từ chối, tạm dừng giao dịch thanh toán, rút tiền trên TK của KH trong trường 
hợp: 
(i) Giấy tờ tùy thân của KH hết hiệu lực/hết giá trị sử dụng.  
(ii) KH không thực hiện đầy đủ các yêu cầu về thủ tục thanh toán (bao gồm giấy tờ xuất 
trình không còn hiệu lực/hết giá trị sử dụng, bị rách, mờ, nhòe, khó nhận diện trong 
ảnh hoặc không có dấu giáp lai..), lệnh thanh toán không hợp pháp, hợp lệ, các yêu tố 
trên lệnh thanh toán không khớp đúng với các yếu tố đã đăng ký trong hồ sơ mở TK 
hoặc không phù hợp với các thỏa thuận giữa KH với Sacombank. 
(iii)  TK không có đủ số dư hoặc vượt hạn mức giao dịch, hạn mức thấu chi (nếu có) để thực 
hiện lệnh thanh toán. 
(iv)  Khi  có  yêu  cầu  bằng văn bản  của cơ quan nhà nước  có  thẩm  quyền  hoặc  có  bằng 
chứng về việc giao dịch thanh toán nhằm rửa tiền, tài trợ khủng bố, tài trợ phổ biến 
vũ khí hủy diệt hàng loạt theo quy định của pháp luật. 
(v) TK đang bị phong tỏa toàn bộ hoặc TK đã đóng, TK bị phong tỏa một phần mà phần 
không bị phong tỏa không có đủ số dư (trừ trường hợp được thấu chi) hoặc vượt hạn 
mức thấu chi để thực hiện các lệnh thanh toán. 
(vi)  Khi KH vi phạm các hành vi bị cấm, không được thực hiện theo Hợp đồng này và quy 
định pháp luật. 
(vii) Khi KH từ chối cung cấp thông tin hoặc cung cấp thông tin không đầy đủ về nhận biết 
KH theo yêu cầu của Sacombank hoặc khi có nghi ngờ về tính trung thực của thông 
tin và mục đích giao dịch đối với giao dịch đặc biệt phải giám sát theo quy định của 
pháp luật phòng, chống rửa tiền. 
(viii) Các trường hợp khác theo Hợp đồng này, thỏa thuận khác giữa KH và Sacombank và 
theo quy định của Sacombank trong từng thời kỳ phù hợp quy định pháp luật."
38,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 4. QUYỀN VÀ NGHĨA VỤ CỦA SACOMBANK 
1. Sacombank có các quyền sau: 
c.  Được từ chối thực hiện các giao dịch, tạm ngừng giao dịch (giao dịch ghi có/ghi nợ), tạm 
ngừng cung cấp dịch vụ liên quan trên TK, phong tỏa TK (giao dịch ghi có/ghi nợ), yêu cầu 
KH bổ sung thông tin, hồ sơ để Sacombank tiến hành xác minh lại KH và/hoặc giao dịch 
của KH, yêu cầu KH đến trực tiếp Điểm giao dịch để thực hiện thủ tục nhận biết, xác minh 
KH thông qua gặp mặt trực tiếp hoặc thực hiện các biện pháp xác thực, xác minh khác khi 
xảy ra một trong các trường hợp sau: 
(i) Sacombank phát hiện có bất kỳ rủi ro, sai lệch hoặc dấu hiệu bất thường trong quá 
trình mở và sử dụng TK bao gồm thông tin không trùng khớp giữa thông tin nhận 
biết KH với các yếu tố sinh trắc học của KH khi mở TK, giữa thông tin do KH khai báo 
so với các thông tin KH lưu trữ tại Sacombank, hoặc bên thứ ba mà Sacombank hợp 
tác để xác minh thông tin của KH, hoặc thông tin, dữ liệu của cơ quan có thẩm quyền, 
cơ sở dữ liệu quốc gia về dân cư, hoặc thông tin được tích hợp với tài khoản định 
danh điện tử của KH, hoặc các nguồn dữ liệu hợp pháp khác. 
(ii) Sacombank có cơ sở xác định KH không thỏa điều kiện mở TK. 
(iii) Sacombank tiếp nhận khiếu nại từ chính chủ TK về việc không mở TK hoặc có thông 
tin về tranh chấp, khiếu nại, khiếu kiện của các tổ chức, cá nhân liên quan đến giao 
dịch trên TK của KH.  
(iv) Sacombank phát hiện TK (bao gồm thông tin, hồ sơ KH cung cấp, thông tin giao dịch 
trên TK như thông tin bên nhận, bên chuyển, nội dung diễn giải...) có dấu hiệu gian 
lận, giả mạo, hoặc dấu hiệu vi phạm pháp luật theo các tiêu chí rủi ro của Sacombank, 
bao gồm nhưng không giới hạn các trường hợp sau: 
- KH sử dụng giấy tờ tùy thân có dấu hiệu giả mạo/không chính chủ, số điện thoại 
không chính chủ hoặc KH mở thuê/ mở hộ TK cho người khác sử dụng; cho thuê, 
cho mượn, mua/bán TK bằng bất kỳ hình thức nào; 
- KH, TK của KH hoặc các giao dịch phát sinh trên TK của KH có liên quan đến danh 
sách các tài khoản, khách hàng có nghi ngờ/danh sách đen/danh sách cảnh báo 
liên quan đến gian lận, lừa đảo, cấm vận/trừng phạt, rửa tiền, tài trợ khủng bố, tài 
trợ phổ biến vũ khí hủy diệt hàng loạt, vi phạm pháp luật của cơ quan nhà nước 
có thẩm quyền ban hành, khuyến nghị áp dụng và/hoặc Danh sách được áp dụng 
tại Sacombank trong từng thời kỳ. 
- Giao dịch đáng ngờ theo quy định của pháp luật về phòng, chống rửa tiền trong 
quá trình sử dụng TK hoặc các rủi ro liên quan đến việc vi phạm các quy định của 
pháp luật và của Sacombank về phòng chống rửa tiền, tài trợ khủng bố, tài trợ 
phổ biến vũ khí hủy diệt hàng loạt, cấm vận và các quy định khác có liên quan. 
- Giao dịch vi phạm pháp luật liên quan đến quản lý ngoại hối; 
- Giao dịch chuyển tiền, thanh toán; nhận chuyển tiền, nhận thanh toán cho hàng 
hóa/dịch  vụ  bất  hợp  pháp  (hàng  hóa,  dịch  vụ  bị  pháp  luật  cấm;  dịch  vụ  thuộc 
ngành nghề kinh doanh có điều kiện như hoạt động ngân hàng mà không có giấy 
phép/đáp ứng đủ điều kiện theo quy định pháp luật; lừa đảo, gian lận, đánh bạc, 
tổ chức đánh bạc, tín dụng đen, tiền ảo ...);  
- Giao dịch khống như giao dịch không thể kiểm tra được bản chất giao dịch thanh 
toán cho loại hàng hóa/dịch vụ nào hoặc giao dịch nâng khống giá trị, giao dịch 
thanh toán thường xuyên có giá trị lớn...; 
- Giao dịch có liên quan đến bất kỳ bên nào (cá nhân, tổ chức, cơ quan chính phủ) 
bị xử phạt vi phạm pháp luật và/hoặc có liên quan trực tiếp hay gián tiếp đến đối 
tượng bị xử phạt vi phạm pháp luật bởi các Liên hiệp, tổ chức quốc tế hay luật 
quốc gia liên quan; 
- Giao dịch có thể trực tiếp hoặc gián tiếp liên quan đến nguồn thu hay được sử 
dụng vì mục đích hoặc cho hành vi bất hợp pháp (trốn thuế, tẩu tán tài sản, thanh 
toán khống...). 
(v) Tài liệu, thông tin, dữ liệu, hồ sơ KH cung cấp chưa đầy đủ, chính xác, hợp lệ theo quy 
định pháp luật và quy định của Sacombank. 
(vi) Sacombank có cơ sở xác định KH không thuộc loại hình doanh nghiệp siêu nhỏ hoặc 
không áp dụng chế độ kế toán đơn giản. 
(vii) Khi KH vi phạm Hợp đồng này, vi phạm pháp luật. 
Khi  nhận được  yêu  cầu  từ  Sacombank,  KH đồng  ý  thực  hiện  thủ  tục  bổ  sung,  cập  nhật 
thông  tin,  hồ  sơ;  thủ  tục  xác  minh  KH,  xác  minh  giao  dịch  của  KH  theo  hướng  dẫn  của 
Sacombank và trong thời hạn mà Sacombank yêu cầu. Nếu (1) KH từ chối cung cấp thông 
tin/không đến Điểm giao dịch để xác minh lại; hoặc (2) KH không cung cấp thông tin, hồ 
sơ trong thời hạn yêu cầu; hoặc (3) hồ sơ được KH cung cấp không phù hợp theo quy định 
pháp luật và quy định của Sacombank; hoặc (4) KH không chứng minh được danh tính của 
mình, nguồn gốc số tiền và mục đích giao dịch hợp pháp; hoặc (5) Sacombank không thể 
liên  lạc được  KH  thông  qua  các  thông  tin  liên  lạc mà KH đã đăng ký  thì  Sacombank  có 
quyền tiếp tục tạm dừng giao dịch, phong tỏa TK của KH hoặc đóng TK (mà không phải 
thông báo trước cho KH). "
39,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 4. QUYỀN VÀ NGHĨA VỤ CỦA SACOMBANK 
1. Sacombank có các quyền sau: 
d. Từ chối yêu cầu phong tỏa, đóng TK của KH khi KH chưa hoàn thành nghĩa vụ thanh toán 
theo quyết định cưỡng chế của cơ quan nhà nước có thẩm quyền hoặc chưa thanh toán 
xong các khoản nợ phải trả cho Sacombank. 
e. Từ chối yêu cầu cung cấp thông tin, thông báo phong tỏa TK cho KH trong trường hợp TK 
bị phong tỏa theo văn bản của cơ quan nhà nước có thẩm quyền và/hoặc đang được điều 
tra liên quan đến TK. 
f.  Từ chối thực hiện các giao dịch/tạm ngưng cung cấp dịch vụ liên quan trên TK trong trường 
hợp Sacombank xác định được KH (tổ chức) đã đăng ký áp dụng chế độ kế toán đơn giản 
theo Nghị định 80/2021/NĐ-CP và/hoặc các văn bản sửa đổi, bổ sung, thay thế (nếu có) 
nhưng không thỏa điều kiện. 
g. Yêu cầu KH hoàn trả đầy đủ số tiền thụ hưởng do tổ chức cung ứng dịch vụ thanh toán 
chuyển thừa, chuyển nhầm (bao gồm cả lỗi tác nghiệp, sự cố hệ thống của tổ chức cung 
ứng dịch vụ thanh toán). 
h. Có  quyền (nhưng không có nghĩa vụ)  yêu  cầu  KH  (tổ  chức)  cung  cấp  thông  tin,  giấy  tờ 
chứng minh KH thỏa điều kiện áp dụng chế độ kế toán đơn giản."
40,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 4. QUYỀN VÀ NGHĨA VỤ CỦA SACOMBANK 
1. Sacombank có các quyền sau: 
i.  Quy định về số dư tối thiểu, phạm vi sử dụng, cách thức sử dụng, hạn mức giao dịch trên 
TK và thông báo công khai, hướng dẫn cụ thể để KH biết. 
j.  Quy định và áp dụng các biện pháp đảm bảo an toàn, bảo mật trong quá trình mở và sử 
dụng TK phù hợp các quy định của pháp luật. 
k. Sacombank có quyền (nhưng không có nghĩa vụ) tạm ngưng cung cấp tất cả dịch vụ/phong 
tỏa TK vô thời hạn ngay khi nhận được bất kỳ khiếu nại, thắc mắc hay phản hồi của KH về 
việc không hài lòng dịch vụ do Sacombank cung cấp cho đến khi KH có yêu cầu bằng văn 
bản về việc sử dụng lại TK/cung cấp lại dịch vụ. 
l.  Được gửi thông tin quảng cáo về tất cả các sản phẩm, dịch vụ, chương trình khuyến mại 
và chương trình hoạt động khác cho KH bằng thư điện tử, tin nhắn và các phương thức 
khác do Sacombank áp dụng trong từng thời kỳ đến email, số điện thoại mà KH đã đăng 
ký với Sacombank. 
m. Được áp dụng tỷ giá bán chuyển khoản tại thời điểm thực hiện giao dịch đối với các trường 
hợp sau, mà không cần sự đồng ý của KH: (i) TK bằng đồng Việt Nam của KH được báo có 
các khoản tiền bằng ngoại tệ; (ii) TK bằng đồng Việt Nam/ngoại tệ không đủ số dư để thu 
các khoản nợ đến hạn, quá hạn, tiền lãi và các chi phí phát sinh trong quá trình quản lý TK 
và cung ứng các dịch vụ thanh toán; (iii) trích tiền trên TK theo yêu cầu của cơ quan nhà 
nước có thẩm quyền; (iv) các trường hợp khác theo quy định pháp luật. 
n. Được  miễn  trừ  đối  với  tất  cả  các  tổn  thất,  thiệt  hại  phát  sinh  của KH trong trường  hợp 
Sacombank  cung  cấp dịch  vụ,  xác  thực  KH  thông  qua  thông  tin  liên  lạc mà KH đăng ký 
(như email, số điện thoại...) nhưng các thông tin liên lạc này không còn được KH sử dụng 
và/hoặc không còn tồn tại nhưng KH không đăng ký thay đổi với Sacombank hoặc vì bất 
kỳ lí do nào dẫn đến KH không còn kiểm soát quyền sử dụng đối với các thông tin liên lạc 
này. 
o. Các quyền khác theo Hợp đồng này, quy định của pháp luật và theo thỏa thuận trước bằng 
văn bản giữa KH với Sacombank không trái với quy định của pháp luật hiện hành. "
41,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 4. QUYỀN VÀ NGHĨA VỤ CỦA SACOMBANK 
2. Sacombank có nghĩa vụ sau: 
a. Thực hiện lệnh thanh toán của KH sau khi đã kiểm tra, kiểm soát tính hợp pháp, hợp lệ của 
lệnh thanh toán. 
b. Điều chỉnh kịp thời nhầm lẫn, sai sót của giao dịch thanh toán trong trường hợp thực hiện 
không đúng yêu cầu theo lệnh thanh toán của KH. 
c.  Lưu giữ  mẫu  chữ  ký  của  chủ  TK,  Kế  toán trưởng  hoặc người  phụ  trách  kế  toán  của  KH 
(trường hợp KH là tổ chức thuộc đối tượng bắt buộc phải bố trí Kế toán trưởng) và những 
người được ủy quyền, mẫu dấu (nếu có) để kiểm tra, đối chiếu trong quá trình sử dụng TK. 
d. Kịp thời Ghi Có vào TK của KH các lệnh thanh toán chuyển tiền đến, nộp tiền mặt vào TK; 
hoàn trả kịp thời các khoản tiền do sai sót đã ghi Nợ đối với TK của KH; phối hợp hoàn trả 
các khoản tiền đã được xác định chuyển nhầm vào tài khoản thanh toán của khách hàng 
theo đề nghị của ngân hàng, chi nhánh ngân hàng nước ngoài phục vụ bên chuyển tiền 
do sai sót so với lệnh thanh toán của người chuyển tiền đã lập. 
e. Thông tin đầy đủ, kịp thời cho KH về số dư, các giao dịch, chứng từ giao dịch phát sinh 
trên TK, việc phong tỏa TK theo hình thức thông báo đã thỏa thuận với KH tại Hợp đồng 
này và chịu trách nhiệm về tính chính xác đối với những thông tin mà mình cung cấp. 
f.  Cập nhật kịp thời các thông tin khi có thông báo thay đổi nội dung trong hồ sơ mở TK của 
KH."
42,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 4. QUYỀN VÀ NGHĨA VỤ CỦA SACOMBANK 
2. Sacombank có nghĩa vụ sau: 
g. Bảo quản, lưu trữ hồ sơ mở TK và các chứng từ giao dịch qua TK theo đúng quy định của 
pháp luật. 
h. Chịu trách nhiệm về những thiệt hại do sai sót hoặc bị lợi dụng, lừa đảo trên TK của KH do 
lỗi của mình. 
i.  Tuân thủ quy định pháp luật phòng chống rửa tiền, tài trợ khủng bố, tài trợ phổ biến vũ 
khí hủy diệt hàng loạt. 
j.  Thông báo và hướng dẫn KH sử dụng dịch vụ thanh toán mà mình cung cấp, hướng dẫn 
KH sử dụng TK an toàn, thông báo, giải thích cho KH về hành vi bị cấm trong mở, sử dụng 
TK và giải đáp, xử ký kịp thời thắc mắc, khiếu nại của KH trong phạm vị nghĩa vụ, quyền 
hạn của mình. 
k. Xây dựng quy trình nội bộ về mở, sử dụng tài khoản thanh toán, hướng dẫn, thông báo 
công khai để KH biết và giải đáp, xử lý kịp thời các thắc mắc, khiếu nại trong quá trình mở 
và sử dụng TK. 
l.  Các nghĩa vụ khác theo Hợp đồng này, quy định của pháp luật và theo thỏa thuận trước 
bằng văn bản giữa KH với Sacombank không trái với quy định của pháp luật hiện hành. "
43,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN MỞ VÀ SỬ DỤNG TÀI KHOẢN ,"ĐIỀU 5. PHONG TỎA VÀ ĐÓNG TK 
1. Phong tỏa TK: 
a.  Sacombank thực hiện phong tỏa một phần hoặc toàn bộ số tiền trên TK của KH trong các 
trường hợp sau: 
(i) Có văn bản yêu cầu của KH (chủ TK hoặc người đại diện hợp pháp của KH); hoặc KH 
(cá nhân) đề nghị phong tỏa và thực hiện theo hướng dẫn của Sacombank thông qua 
tổng đài điện thoại có ghi âm (1800 5858 88 hoặc số điện thoại khác được thông báo 
công khai trên Website của Sacombank); hoặc theo thỏa thuận tại Hợp đồng này; hoặc 
có thỏa thuận trước bằng văn bản giữa KH với Sacombank, trừ trường hợp quy định 
tại điểm d khoản 1 Điều 4 của Hợp đồng này. 
(ii)  KH bị phản ánh có hành vi gian lận, lừa đảo, vi phạm pháp luật liên quan đến TK. Thời 
hạn phong tỏa tối đa là 24 giờ làm việc và Sacombank sẽ thông báo đến KH khi phát 
sinh giao dịch phong tỏa. 
(iii) Có yêu cầu bằng văn bản của cơ quan có thẩm quyền theo quy định của pháp luật. 
(iv) Sacombank phát hiện thấy có nhầm lẫn, sai sót khi ghi Có nhầm vào TK của KH hoặc 
theo yêu cầu hoàn trả lại tiền của tổ chức cung ứng dịch vụ thanh toán chuyển tiền do 
có nhầm lẫn, sai sót so với lệnh thanh toán của người chuyển tiền, số tiền bị phong tỏa 
trên TK không vượt quá số tiền bị nhầm lẫn, sai sót. 
(v)  Có thông báo bằng văn bản của một trong các chủ TK về việc phát sinh tranh chấp về 
TK chung giữa các chủ TK chung. 
(vi) Các trường  hợp  phong  tỏa  theo  pháp  luật  về  phòng  chống  rửa  tiền,  phòng  chống 
khủng bố, phòng chống phổ biến vũ khí hủy diệt hàng loạt. 
(vii) Các trường hợp khác theo thỏa thuận tại Hợp đồng này, thỏa thuận trước bằng văn 
bản giữa KH và Sacombank và theo quy định pháp luật. 
"
